Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
95183-55050,RB,Christian,Christian McCaffrey,McCaffrey,22.514286586216517,7,10200,CIN@SF,SF,CIN,,,,,,RB/FLEX
95183-53681,WR,Tyreek,Tyreek Hill,Hill,22.871429443359375,7,9500,NE@MIA,MIA,NE,Q,Hip,,,,WR/FLEX
95183-69531,QB,Jalen,Jalen Hurts,Hurts,22.891429356166295,7,9200,PHI@WAS,PHI,WAS,,,,,,QB
95183-79970,WR,Cooper,Cooper Kupp,Kupp,15.333333333333334,3,9100,LAR@DAL,LAR,DAL,,,,,,WR/FLEX
95183-28744,RB,Raheem,Raheem Mostert,Mostert,19.428571428571427,7,9000,NE@MIA,MIA,NE,Q,Ankle,,,,RB/FLEX
95183-57439,QB,Patrick,Patrick Mahomes,Mahomes,22.297143118722097,7,9000,KC@DEN,KC,DEN,,,,,,QB
95183-33076,TE,Travis,Travis Kelce,Kelce,16.75,6,9000,KC@DEN,KC,DEN,,,,,,TE/FLEX
95183-63115,QB,Lamar,Lamar Jackson,Jackson,21.385713849748885,7,8800,BAL@ARI,BAL,ARI,,,,,,QB
95183-72846,WR,A.J.,A.J. Brown,Brown,17.842857360839844,7,8700,PHI@WAS,PHI,WAS,,,,,,WR/FLEX
95183-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,18,7,8700,JAC@PIT,JAC,PIT,,,,,,RB/FLEX
95183-103342,RB,Kenneth,Kenneth Walker III,Walker III,16.349999745686848,6,8500,CLE@SEA,SEA,CLE,Q,Calf,,,,RB/FLEX
95183-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.46666717529297,6,8500,CIN@SF,CIN,SF,,,,,,WR/FLEX
95183-42104,RB,Alvin,Alvin Kamara,Kamara,17.325000762939453,4,8300,NO@IND,NO,IND,,,,,,RB/FLEX
95183-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,19.639999389648438,7,8200,NE@MIA,MIA,NE,,,,,,QB
95183-39716,WR,Adam,Adam Thielen,Thielen,17,6,8200,HOU@CAR,CAR,HOU,,,,,,WR/FLEX
95183-64401,RB,Saquon,Saquon Barkley,Barkley,15.274999618530273,4,8100,NYJ@NYG,NYG,NYJ,Q,Elbow,,,,RB/FLEX
95183-39280,RB,Derrick,Derrick Henry,Henry,13.629999796549479,6,8000,ATL@TEN,TEN,ATL,,,,,,RB/FLEX
95183-103020,WR,Puka,Puka Nacua,Nacua,16.657142639160156,7,8000,LAR@DAL,LAR,DAL,,,,,,WR/FLEX
95183-86631,WR,CeeDee,CeeDee Lamb,Lamb,12.09999974568685,6,7800,LAR@DAL,DAL,LAR,,,,,,WR/FLEX
95183-52436,TE,Mark,Mark Andrews,Andrews,13.283332824707031,6,7700,BAL@ARI,BAL,ARI,,,,,,TE/FLEX
95183-91598,RB,D'Andre,D'Andre Swift,Swift,13.314285278320312,7,7700,PHI@WAS,PHI,WAS,,,,,,RB/FLEX
95183-22038,QB,Kirk,Kirk Cousins,Cousins,19.268572126116073,7,7700,MIN@GB,MIN,GB,,,,,,QB
95183-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,13.016666412353516,6,7700,CIN@SF,SF,CIN,,,,,,WR/FLEX
95183-63759,RB,Tony,Tony Pollard,Pollard,13.183333079020182,6,7600,LAR@DAL,DAL,LAR,,,,,,RB/FLEX
95183-69017,QB,Jordan,Jordan Love,Love,18.753332773844402,6,7600,MIN@GB,GB,MIN,,,,,,QB
95183-73048,WR,DK,DK Metcalf,Metcalf,11.34000015258789,5,7500,CLE@SEA,SEA,CLE,,,,,,WR/FLEX
95183-89951,QB,Trevor,Trevor Lawrence,Lawrence,15.617142813546318,7,7500,JAC@PIT,JAC,PIT,Q,Knee,,,,QB
95183-92575,RB,Isiah,Isiah Pacheco,Pacheco,13.242856706891741,7,7400,KC@DEN,KC,DEN,,,,,,RB/FLEX
95183-129471,QB,C.J.,C.J. Stroud,Stroud,17.233333587646484,6,7400,HOU@CAR,HOU,CAR,,,,,,QB
95183-110246,WR,George,George Pickens,Pickens,12.84999974568685,6,7400,JAC@PIT,PIT,JAC,,,,,,WR/FLEX
95183-129210,WR,Jordan,Jordan Addison,Addison,12.928571428571429,7,7300,MIN@GB,MIN,GB,,,,,,WR/FLEX
95183-31716,QB,Dak,Dak Prescott,Prescott,14.636666615804037,6,7300,LAR@DAL,DAL,LAR,,,,,,QB
95183-87770,WR,Chris,Chris Olave,Olave,10.37142835344587,7,7300,NO@IND,NO,IND,,,,,,WR/FLEX
95183-103064,RB,Breece,Breece Hall,Hall,12.066666920979818,6,7200,NYJ@NYG,NYJ,NYG,,,,,,RB/FLEX
95183-103564,WR,Garrett,Garrett Wilson,Wilson,10.816666920979818,6,7200,NYJ@NYG,NYJ,NYG,,,,,,WR/FLEX
95183-91419,WR,Nico,Nico Collins,Collins,14.533332824707031,6,7200,HOU@CAR,HOU,CAR,,,,,,WR/FLEX
95183-85607,QB,Brock,Brock Purdy,Purdy,17.531428745814733,7,7200,CIN@SF,SF,CIN,Q,Concussion,,,,QB
95183-90573,WR,Jaylen,Jaylen Waddle,Waddle,10.450000127156576,6,7100,NE@MIA,MIA,NE,Q,Back,,,,WR/FLEX
95183-89675,RB,Jonathan,Jonathan Taylor,Taylor,10.800000508626303,3,7100,NO@IND,IND,NO,,,,,,RB/FLEX
95183-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,11.985714503696986,7,7100,NO@IND,IND,NO,,,,,,WR/FLEX
95183-136855,RB,Bijan,Bijan Robinson,Robinson,11.757143293108259,7,7100,ATL@TEN,ATL,TEN,,,,,,RB/FLEX
95183-63336,QB,Joe,Joe Burrow,Burrow,12.09999974568685,6,7100,CIN@SF,CIN,SF,,,,,,QB
95183-63519,QB,Daniel,Daniel Jones,Jones,12.212000274658203,5,7000,NYJ@NYG,NYG,NYJ,Q,Neck,,,,QB
95183-45229,RB,Kareem,Kareem Hunt,Hunt,8.850000381469727,4,7000,CLE@SEA,CLE,SEA,Q,Thigh,,,,RB/FLEX
95183-90533,RB,Jerome,Jerome Ford,Ford,12.633333841959635,6,7000,CLE@SEA,CLE,SEA,D,Ankle,,,,RB/FLEX
95183-56018,WR,Deebo,Deebo Samuel,Samuel,10.283333460489908,6,7000,CIN@SF,SF,CIN,O,Shoulder,,,,WR/FLEX
95183-56250,WR,Terry,Terry McLaurin,McLaurin,10.528570992606026,7,7000,PHI@WAS,WAS,PHI,,,,,,WR/FLEX
95183-60858,WR,Christian,Christian Kirk,Kirk,11.922857012067523,7,7000,JAC@PIT,JAC,PIT,,,,,,WR/FLEX
95183-22015,QB,Russell,Russell Wilson,Wilson,17.294285365513392,7,7000,KC@DEN,DEN,KC,,,,,,QB
95183-54879,QB,Deshaun,Deshaun Watson,Watson,13.654999732971191,4,7000,CLE@SEA,CLE,SEA,Q,Shoulder,,,,QB
95183-85671,WR,Justin,Justin Jefferson,Jefferson,18.219999694824217,5,7000,MIN@GB,MIN,GB,IR,Hamstring,,,,WR/FLEX
95183-57403,WR,Courtland,Courtland Sutton,Sutton,10.942856924874443,7,6900,KC@DEN,DEN,KC,,,,,,WR/FLEX
95183-104576,QB,Sam,Sam Howell,Howell,16.694285801478795,7,6900,PHI@WAS,WAS,PHI,,,,,,QB
95183-61798,QB,Gardner,Gardner Minshew II,Minshew II,11.863333384195963,6,6900,NO@IND,IND,NO,,,,,,QB
95183-90576,WR,DeVonta,DeVonta Smith,Smith,9.471429007393974,7,6900,PHI@WAS,PHI,WAS,,,,,,WR/FLEX
95183-14377,QB,Tyrod,Tyrod Taylor,Taylor,7.468000030517578,5,6800,NYJ@NYG,NYG,NYJ,,,,,,QB
95183-64555,WR,Calvin,Calvin Ridley,Ridley,9.042857033865792,7,6800,JAC@PIT,JAC,PIT,,,,,,WR/FLEX
95183-40442,RB,Aaron,Aaron Jones,Jones,11.59999974568685,3,6800,MIN@GB,GB,MIN,Q,Hamstring,,,,RB/FLEX
95183-89981,WR,Tee,Tee Higgins,Higgins,6.780000305175781,5,6800,CIN@SF,CIN,SF,,,,,,WR/FLEX
95183-86055,RB,Dameon,Dameon Pierce,Pierce,7.833333333333333,6,6700,HOU@CAR,HOU,CAR,,,,,,RB/FLEX
95183-112745,WR,Drake,Drake London,London,9.597142900739398,7,6700,ATL@TEN,ATL,TEN,,,,,,WR/FLEX
95183-94370,WR,Romeo,Romeo Doubs,Doubs,10.216666539510092,6,6700,MIN@GB,GB,MIN,,,,,,WR/FLEX
95183-86278,QB,Desmond,Desmond Ridder,Ridder,14.914285932268415,7,6700,ATL@TEN,ATL,TEN,,,,,,QB
95183-27050,WR,Tyler,Tyler Lockett,Lockett,9.40000025431315,6,6700,CLE@SEA,SEA,CLE,Q,Hamstring,,,,WR/FLEX
95183-90584,QB,Mac,Mac Jones,Jones,11.885713849748884,7,6700,NE@MIA,NE,MIA,,,,,,QB
95183-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,8.516666412353516,6,6600,ATL@TEN,TEN,ATL,,,,,,WR/FLEX
95183-31001,WR,Amari,Amari Cooper,Cooper,9.483333587646484,6,6600,CLE@SEA,CLE,SEA,,,,,,WR/FLEX
95183-90406,QB,Zach,Zach Wilson,Wilson,11.113333384195963,6,6600,NYJ@NYG,NYJ,NYG,,,,,,QB
95183-45859,QB,Derek,Derek Carr,Carr,12.299999782017299,7,6600,NO@IND,NO,IND,,,,,,QB
95183-119606,QB,Bryce,Bryce Young,Young,12.636000061035157,5,6600,HOU@CAR,CAR,HOU,,,,,,QB
95183-40167,RB,Gus,Gus Edwards,Edwards,8.557143075125557,7,6600,BAL@ARI,BAL,ARI,,,,,,RB/FLEX
95183-40407,QB,Joshua,Joshua Dobbs,Dobbs,14.948571341378349,7,6600,BAL@ARI,ARI,BAL,,,,,,QB
95183-71706,TE,T.J.,T.J. Hockenson,Hockenson,10.357142857142858,7,6500,MIN@GB,MIN,GB,Q,Foot,,,,TE/FLEX
95183-6654,QB,Matthew,Matthew Stafford,Stafford,15.174285888671875,7,6500,LAR@DAL,LAR,DAL,,,,,,QB
95183-86687,WR,Marquise,Marquise Brown,Brown,10.742856706891741,7,6500,BAL@ARI,ARI,BAL,,,,,,WR/FLEX
95183-93107,RB,AJ,AJ Dillon,Dillon,6.650000254313151,6,6500,MIN@GB,GB,MIN,,,,,,RB/FLEX
95183-52442,RB,Joe,Joe Mixon,Mixon,10.166666666666666,6,6500,CIN@SF,CIN,SF,,,,,,RB/FLEX
95183-21948,QB,Ryan,Ryan Tannehill,Tannehill,9.519999821980795,6,6500,ATL@TEN,TEN,ATL,Q,Ankle,,,,QB
95183-87691,QB,Malik,Malik Willis,Willis,4.659999847412109,1,6500,ATL@TEN,TEN,ATL,,,,,,QB
95183-112295,WR,Zay,Zay Flowers,Flowers,10.12857164655413,7,6500,BAL@ARI,BAL,ARI,,,,,,WR/FLEX
95183-26483,QB,Geno,Geno Smith,Smith,14.18999989827474,6,6500,CLE@SEA,SEA,CLE,,,,,,QB
95183-92020,QB,Kenny,Kenny Pickett,Pickett,12.2466672261556,6,6500,JAC@PIT,PIT,JAC,,,,,,QB
95183-63855,WR,K.J.,K.J. Osborn,Osborn,7.014285496303013,7,6400,MIN@GB,MIN,GB,,,,,,WR/FLEX
95183-25011,TE,Darren,Darren Waller,Waller,8.785714285714286,7,6400,NYJ@NYG,NYG,NYJ,Q,Hamstring,,,,TE/FLEX
95183-66008,WR,Diontae,Diontae Johnson,Johnson,8.350000381469727,2,6400,JAC@PIT,PIT,JAC,Q,Hamstring,,,,WR/FLEX
95183-41827,QB,P.J.,P.J. Walker,Walker,6.099999904632568,2,6400,CLE@SEA,CLE,SEA,,,,,,QB
95183-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,9.5,7,6400,NE@MIA,NE,MIA,,,,,,RB/FLEX
95183-71845,RB,Miles,Miles Sanders,Sanders,7.319999694824219,5,6300,HOU@CAR,CAR,HOU,,,,,,RB/FLEX
95183-90575,RB,Najee,Najee Harris,Harris,7.533333460489909,6,6300,JAC@PIT,PIT,JAC,,,,,,RB/FLEX
95183-87467,RB,Chuba,Chuba Hubbard,Hubbard,7.099999745686849,6,6300,HOU@CAR,CAR,HOU,,,,,,RB/FLEX
95183-40534,QB,Mike,Mike White,White,2.5899999141693115,2,6300,NE@MIA,MIA,NE,,,,,,QB
95183-169776,WR,Christian,Christian Watson,Watson,7.933333079020183,3,6300,MIN@GB,GB,MIN,,,,,,WR/FLEX
