Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94948-79970,WR,Cooper,Cooper Kupp,Kupp,20.049999237060547,2,9700,PIT@LAR,LAR,PIT,,,,,,WR/FLEX
94948-80001,RB,Austin,Austin Ekeler,Ekeler,16.299999237060547,2,9400,LAC@KC,LAC,KC,,,,,,RB/FLEX
94948-57439,QB,Patrick,Patrick Mahomes,Mahomes,20.203333536783855,6,9200,LAC@KC,KC,LAC,,,,,,QB
94948-29253,WR,Keenan,Keenan Allen,Allen,20.69199981689453,5,9200,LAC@KC,LAC,KC,,,,,,WR/FLEX
94948-25079,WR,Stefon,Stefon Diggs,Diggs,19.083333333333332,6,9000,BUF@NE,BUF,NE,,,,,,WR/FLEX
94948-62239,QB,Josh,Josh Allen,Allen,23.023333231608074,6,9000,BUF@NE,BUF,NE,Q,Shoulder,,,,QB
94948-103342,RB,Kenneth,Kenneth Walker III,Walker III,17.2,5,8800,ARI@SEA,SEA,ARI,,,,,,RB/FLEX
94948-33076,TE,Travis,Travis Kelce,Kelce,14.11999969482422,5,8500,LAC@KC,KC,LAC,,,,,,TE/FLEX
94948-104433,RB,Kyren,Kyren Williams,Williams,17.433333079020183,6,8500,PIT@LAR,LAR,PIT,D,Ankle,,,,RB/FLEX
94948-69189,QB,Justin,Justin Herbert,Herbert,23.263999938964844,5,8300,LAC@KC,LAC,KC,,,,,,QB
94948-64401,RB,Saquon,Saquon Barkley,Barkley,14.59999974568685,3,8300,WAS@NYG,NYG,WAS,,,,,,RB/FLEX
94948-91591,QB,Justin,Justin Fields,Fields,18.623332977294922,6,8200,LV@CHI,CHI,LV,D,Thumb,,,,QB
94948-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.18000030517578,5,8200,DET@BAL,DET,BAL,,,,,,WR/FLEX
94948-72731,RB,Josh,Josh Jacobs,Jacobs,12.766666412353516,6,8000,LV@CHI,LV,CHI,,,,,,RB/FLEX
94948-63115,QB,Lamar,Lamar Jackson,Jackson,19.303333282470703,6,8000,DET@BAL,BAL,DET,,,,,,QB
94948-45889,WR,Davante,Davante Adams,Adams,14.09999974568685,6,8000,LV@CHI,LV,CHI,,,,,,WR/FLEX
94948-69017,QB,Jordan,Jordan Love,Love,19.244000244140626,5,7800,GB@DEN,GB,DEN,,,,,,QB
94948-73273,RB,David,David Montgomery,Montgomery,16.41999969482422,5,7800,DET@BAL,DET,BAL,Q,Ribs,,,,RB/FLEX
94948-73048,WR,DK,DK Metcalf,Metcalf,11.34000015258789,5,7700,ARI@SEA,SEA,ARI,,,,,,WR/FLEX
94948-40442,RB,Aaron,Aaron Jones,Jones,13.800000190734863,2,7700,GB@DEN,GB,DEN,Q,Hamstring,,,,RB/FLEX
94948-38435,QB,Jared,Jared Goff,Goff,19.87000020345052,6,7600,DET@BAL,DET,BAL,,,,,,QB
94948-32384,WR,Mike,Mike Evans,Evans,13.719999694824219,5,7600,ATL@TB,TB,ATL,,,,,,WR/FLEX
94948-63043,WR,DJ,DJ Moore,Moore,17.366666158040363,6,7500,LV@CHI,CHI,LV,,,,,,WR/FLEX
94948-54879,QB,Deshaun,Deshaun Watson,Watson,18.47333272298177,3,7500,CLE@IND,CLE,IND,Q,Shoulder,,,,QB
94948-136855,RB,Bijan,Bijan Robinson,Robinson,13.666666666666666,6,7500,ATL@TB,ATL,TB,,,,,,RB/FLEX
94948-104576,QB,Sam,Sam Howell,Howell,17.733333587646484,6,7400,WAS@NYG,WAS,NYG,,,,,,QB
