#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassNetYards,#PassAvg,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
46180,2018-12-23,21:05:00 GMT,77,LA,Los Angeles,Rams,76,ARI,Arizona,Cardinals,1086,University of Phoenix Stadium,76,ARI,Arizona,Cardinals,31,18,58.1,31.0,182,159,5.9,4.5,159.0,1,3.2,0,0.0,32,1,0,4,23,85.7,18,18.0,104,5.8,104.0,0,20,6,33.3,1,0,0,18,182,10.1,182.0,1,32,6,1,0,0,52,62,10,2,24,2,0,0,0,0.0,0,3,11,33,0,0,0,0,1,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,1,0,0,0,0,0,0,1,2,50.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,1,0.0,36,0,0,1,0.0,3,0.0,3,195,0,65.0,3,0,0,0.0,0,0,0,5,246,209,56,49.2,41.8,0,0,2,3,60.0,0,0.0,1,2,37,18.5,0,0,0,0,0,0,15,6,6,3,2,11,18.2,1,2,50.0,7,54,53,263,5.0,1,0,1,0,0,0,0.0,9,31,-22,0,0,0
46168,2018-12-23,18:00:00 GMT,68,ATL,Atlanta,Falcons,69,CAR,Carolina,Panthers,1096,Bank of America Stadium,68,ATL,Atlanta,Falcons,26,15,57.7,26.0,239,233,9.2,8.6,233.0,3,11.5,0,0.0,75,3,2,1,6,126.9,21,21.0,194,9.2,194.0,0,60,6,28.6,4,1,1,15,239,15.9,239.0,3,75,8,3,2,0,48,91,43,2,17,2,3,0,8,2.7,6,5,24,24,0,0,2,2,1,0,1,9,1,0,1,10,10.0,10,0,0,0,0,0,1,9,9.0,9,0,0,0,2,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,39,0,3,3,100.0,6,0.0,5,312,0,62.4,1,4,113,28.2,0,0,0,5,235,219,54,47.0,43.8,0,0,0,3,60.0,0,0.0,3,2,16,8.0,0,0,0,0,0,0,16,8,6,2,4,10,40.0,0,0,0.0,4,41,48,427,8.9,3,1,0,0,0,0,1.0,24,10,14,0,0,0
46178,2018-12-22,01:20:00 GMT,56,BAL,Baltimore,Ravens,75,LAC,Los Angeles,Chargers,1245,StubHub Center,56,BAL,Baltimore,Ravens,22,12,54.6,22.0,204,202,9.3,8.1,202.0,1,4.6,0,0.0,68,2,1,3,2,101.3,35,35.0,159,4.5,159.0,0,43,6,17.1,2,1,3,12,204,17.0,204.0,1,68,8,2,1,0,39,55,16,4,34,5,2,0,-6,-3.0,0,4,18,-25,0,0,2,1,2,1,1,-11,2,1,3,55,18.3,27,0,1,0,0,0,2,17,8.5,19,0,0,0,3,0,0,3,5,60.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,1,2,50.0,56,0,1,1,100.0,10,0.0,6,394,0,65.7,4,2,45,22.5,0,0,0,3,150,117,57,50.0,39.0,0,0,0,1,33.3,0,0.0,1,2,33,16.5,1,0,0,0,1,0,15,8,6,1,4,14,28.6,1,2,50.0,4,40,60,361,6.0,2,1,0,0,0,0,1.0,22,10,12,0,0,0
46169,2018-12-23,18:00:00 GMT,48,BUF,Buffalo,Bills,50,NE,New England,Patriots,1129,Gillette Stadium,48,BUF,Buffalo,Bills,39,20,51.3,39.0,217,217,5.6,5.6,217.0,1,2.6,2,5.1,31,3,0,0,0,55.2,18,18.0,72,4.0,72.0,0,13,3,16.7,0,0,0,20,217,10.8,217.0,1,31,10,3,0,0,39,83,44,1,9,1,2,0,8,4.0,8,3,18,15,0,0,1,1,1,0,1,0,1,0,4,72,18.0,28,0,3,0,0,0,2,12,6.0,8,0,0,0,0,0,0,2,3,66.7,0,0,0.0,0,0,0.0,1,1,100.0,1,2,50.0,0,0,0.0,43,0,0,0,0.0,6,0.0,2,133,0,66.5,0,2,30,15.0,0,0,0,6,230,193,47,38.3,32.2,0,0,2,0,0.0,0,0.0,0,2,37,18.5,1,0,1,0,0,0,14,10,3,1,2,12,16.7,0,1,0.0,3,29,59,289,4.9,1,0,1,0,0,0,0.0,12,24,-12,0,0,0
46168,2018-12-23,18:00:00 GMT,68,ATL,Atlanta,Falcons,69,CAR,Carolina,Panthers,1096,Bank of America Stadium,69,CAR,Carolina,Panthers,57,37,64.9,57.0,312,295,5.5,5.0,295.0,1,1.8,3,5.3,27,2,0,2,17,62.9,25,25.0,141,5.6,141.0,0,19,8,32.0,0,0,1,37,312,8.4,312.0,1,27,19,2,0,0,28,45,17,1,7,0,0,0,0,0.0,0,7,16,12,0,0,2,1,1,1,2,-5,3,0,4,109,27.2,37,0,4,0,0,0,2,16,8.0,13,0,0,0,3,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,50,0,1,1,100.0,4,0.0,3,190,0,63.3,2,1,10,10.0,0,0,0,3,128,119,56,42.7,39.7,0,0,0,1,33.3,0,0.0,2,1,9,9.0,0,0,0,0,0,0,29,19,8,2,7,14,50.0,0,2,0.0,10,86,84,436,5.2,1,0,1,0,0,0,0.0,10,24,-14,0,0,0
46179,2018-12-23,21:05:00 GMT,60,CHI,Chicago,Bears,78,SF,San Francisco,49ers,1144,Levi's Stadium,60,CHI,Chicago,Bears,29,25,86.2,29.0,246,235,8.5,7.3,235.0,1,3.4,0,0.0,43,2,1,3,11,113.5,28,28.0,90,3.2,90.0,1,9,6,21.4,0,0,1,25,248,9.9,248.0,1,43,12,3,1,0,38,48,10,1,9,2,1,0,0,0.0,0,7,18,13,0,0,2,2,0,0,0,-8,0,0,2,52,26.0,32,0,2,0,0,0,0,0,0.0,0,0,0,0,4,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,2,2,100.0,2,0.0,3,172,0,57.3,0,3,47,15.7,0,0,0,3,119,119,49,39.7,39.7,0,0,1,1,33.3,1,33.3,1,0,0,0.0,0,0,0,0,0,0,20,12,6,2,5,11,45.4,1,1,100.0,4,30,60,325,5.4,2,1,0,0,0,0,1.0,14,9,5,0,0,0
46170,2018-12-23,18:00:00 GMT,57,CIN,Cincinnati,Bengals,58,CLE,Cleveland,Browns,1101,FirstEnergy Stadium,57,CIN,Cincinnati,Bengals,19,13,68.4,19.0,133,107,7.0,4.9,107.0,2,10.5,0,0.0,28,2,0,3,26,123.4,24,24.0,102,4.2,102.0,0,20,7,29.2,1,0,0,13,133,10.2,133.0,2,28,7,2,0,0,46,62,16,0,0,4,0,0,0,0.0,0,2,15,6,0,0,1,0,0,1,0,0,1,0,3,77,25.7,33,0,2,0,0,0,1,2,2.0,2,0,0,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,51,0,1,1,100.0,4,0.0,4,234,0,58.5,1,3,47,15.7,0,0,0,5,219,207,51,43.8,41.4,0,0,0,2,40.0,1,20.0,2,2,12,6.0,1,1,1,1,0,0,15,7,7,1,1,8,12.5,1,1,100.0,3,15,46,209,4.5,2,0,1,0,0,0,0.0,18,26,-8,0,0,0
46170,2018-12-23,18:00:00 GMT,57,CIN,Cincinnati,Bengals,58,CLE,Cleveland,Browns,1101,FirstEnergy Stadium,58,CLE,Cleveland,Browns,38,28,73.7,38.0,347,347,9.1,9.1,347.0,3,7.9,0,0.0,66,3,2,0,0,127.8,28,28.0,146,5.2,146.0,0,22,8,28.6,2,0,0,28,347,12.4,347.0,3,66,14,3,2,0,34,46,12,3,26,2,0,0,0,0.0,0,1,17,46,0,0,0,0,1,0,0,0,0,0,3,42,14.0,27,0,1,0,0,0,2,12,6.0,7,0,0,0,2,0,0,2,2,100.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0,0.0,37,0,2,3,66.7,8,0.0,6,390,0,65.0,3,3,77,25.7,0,0,0,3,88,86,47,29.3,28.7,1,0,0,0,0.0,0,0.0,1,1,2,2.0,0,0,0,0,0,0,23,14,8,1,5,12,41.7,1,1,100.0,6,57,66,493,7.5,3,1,0,0,0,0,1.0,26,18,8,0,0,0
46176,2018-12-23,18:00:00 GMT,71,TB,Tampa Bay,Buccaneers,52,DAL,Dallas,Cowboys,1103,AT&T Stadium,52,DAL,Dallas,Cowboys,25,20,80.0,25.0,161,152,6.4,5.8,152.0,1,4.0,0,0.0,31,1,0,1,9,106.8,24,24.0,80,3.3,80.0,1,17,6,25.0,0,0,1,20,161,8.0,161.0,1,31,9,1,0,0,49,72,23,3,87,5,0,0,0,0.0,0,6,23,21,0,0,1,0,1,1,2,0,3,1,1,20,20.0,20,0,1,0,0,0,1,13,13.0,13,0,0,0,1,0,0,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,59,0,3,3,100.0,9,0.0,6,394,0,65.7,4,2,69,34.5,0,0,0,4,166,166,48,41.5,41.5,0,1,1,1,25.0,0,0.0,2,0,0,0.0,0,0,0,0,0,0,16,9,6,1,3,9,33.3,0,0,0.0,10,67,50,232,4.6,3,1,0,0,0,0,1.0,27,20,7,0,0,0
46183,2018-12-24,01:15:00 GMT,72,DEN,Denver,Broncos,74,OAK,Oakland,Raiders,1137,Oakland-Alameda County Coliseum,72,DEN,Denver,Broncos,37,23,62.2,37.0,202,200,5.5,5.3,200.0,2,5.4,2,5.4,26,2,0,1,2,72.1,24,24.0,100,4.2,100.0,0,17,3,12.5,0,0,1,23,202,8.8,202.0,2,26,12,2,0,0,44,59,15,1,8,2,0,0,0,0.0,0,3,17,12,0,0,1,0,0,1,0,-17,1,0,5,116,23.2,31,0,4,0,0,0,0,0,0.0,0,0,0,0,4,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,2,2,100.0,2,0.0,3,177,0,59.0,1,2,46,23.0,0,0,0,6,306,200,65,51.0,33.3,0,0,0,1,16.7,3,50.0,1,2,106,53.0,0,0,0,0,0,0,19,12,4,3,6,14,42.9,1,2,50.0,11,91,62,300,4.8,2,0,1,0,0,0,0.0,14,27,-13,0,0,0
