#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveXP,#DefensiveTD,#DefensiveTwoPt,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
65002,2021-10-28,00:20:00 GMT,62,GB,Green Bay,Packers,76,ARI,Arizona,Cardinals,1269,State Farm Stadium,76,ARI,Arizona,Cardinals,33,22,66.7,33.0,274,8.3,260,7.4,260.0,0,0.0,2,6.1,58,5,1,2,14,67.0,20,20.0,74,3.7,74.0,3,11,7,35.0,0,0,1,22,277,12.6,277.0,0,58,12,5,1,0,41,76,35,1,0,1,0,0,0,0.0,0,5,23,5,0,0,2,1,2,1,0,-8,1,0,3,60,20.0,32,0,2,0,0,0,3,14,4.7,14,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,3,3,100.0,3,0.0,4,264,0,66.0,3,1,13,13.0,0,0,0,3,166,141,62,55.3,47.0,0,0,0,1,33.3,0,0.0,1,2,25,12.5,0,0,0,0,0,0,0,0,0,22,12,7,3,4,10,40.0,2,2,100.0,7,59,55,334,6.1,3,0,1,0,0,0,0.0,21,24,-3,59,73,22
65014,2021-10-31,17:00:00 GMT,69,CAR,Carolina,Panthers,68,ATL,Atlanta,Falcons,1130,Mercedes-Benz Stadium,68,ATL,Atlanta,Falcons,27,20,74.1,27.0,146,5.4,131,4.4,131.0,1,3.7,2,7.4,18,0,0,3,15,67.8,20,20.0,82,4.1,82.0,0,18,2,10.0,0,0,1,20,146,7.3,146.0,1,18,11,0,0,0,52,77,25,0,0,2,0,0,0,0.0,0,6,17,10,0,0,1,0,1,1,1,-2,2,0,1,25,25.0,25,0,1,0,0,0,2,21,10.5,13,0,0,0,2,0,0,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0.0,1,2,50.0,1,1,100.0,53,0,1,1,100.0,7,0.0,4,206,0,51.5,3,1,0,0.0,0,1,0,4,190,190,55,47.5,47.5,0,1,0,2,50.0,0,0.0,3,0,0,0.0,0,0,0,0,0,0,0,0,0,17,11,2,4,3,10,30.0,1,1,100.0,3,15,50,213,4.3,1,0,1,0,0,0,0.0,13,19,-6,53,74,26
65015,2021-10-31,17:00:00 GMT,49,MIA,Miami,Dolphins,48,BUF,Buffalo,Bills,1390,Highmark Stadium,48,BUF,Buffalo,Bills,86,58,67.4,86.0,249,2.9,249,2.9,249.0,2,2.3,0,0.0,20,4,0,0,0,78.5,23,23.0,102,4.4,102.0,1,34,10,43.5,2,0,2,58,498,8.6,498.0,4,20,30,4,0,0,88,120,32,4,22,5,1,0,26,26.0,26,8,52,42,2,0,1,0,1,0,1,16,1,0,2,37,18.5,19,0,0,0,0,0,2,25,12.5,16,0,0,0,0,0,0,2,2,100.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,2,2,100.0,57,0,2,2,100.0,8,0.0,6,724,0,120.7,4,4,50,12.5,0,0,0,4,326,302,55,81.5,75.5,0,2,0,2,50.0,0,0.0,0,6,24,4.0,2,0,0,0,2,0,0,0,0,24,15,5,4,12,26,46.2,0,2,0.0,9,80,66,351,5.3,3,1,0,0,0,0,1.0,26,11,15,73,69,24
65014,2021-10-31,17:00:00 GMT,69,CAR,Carolina,Panthers,68,ATL,Atlanta,Falcons,1130,Mercedes-Benz Stadium,69,CAR,Carolina,Panthers,25,13,52.0,25.0,129,5.2,129,5.2,129.0,0,0.0,0,0.0,23,2,0,0,0,66.9,47,47.0,203,4.3,203.0,1,20,13,27.7,1,0,1,13,129,9.9,129.0,0,23,7,2,0,0,37,54,17,3,15,3,2,0,10,5.0,10,6,15,21,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,0,4,4,100.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0,0.0,2,2,100.0,57,0,1,1,100.0,13,0.0,5,330,0,66.0,4,1,25,25.0,0,0,0,4,175,154,49,43.8,38.5,0,0,0,1,25.0,0,0.0,2,2,21,10.5,0,0,0,0,0,0,0,0,0,21,7,13,1,10,17,58.8,0,0,0.0,8,76,72,332,4.6,1,1,0,0,0,0,1.0,19,13,6,74,53,26
65013,2021-10-31,17:00:00 GMT,78,SF,San Francisco,49ers,60,CHI,Chicago,Bears,1098,Soldier Field,60,CHI,Chicago,Bears,54,38,70.4,54.0,175,3.2,148,2.6,148.0,1,1.8,2,3.7,22,4,0,4,27,65.0,36,36.0,176,4.9,176.0,1,22,18,50.0,4,0,4,38,350,9.2,350.0,2,22,20,4,0,0,70,108,38,0,0,5,0,0,0,0.0,0,8,40,22,0,0,3,0,0,2,0,-5,2,0,6,156,26.0,34,0,10,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,3,100.0,0,0,0.0,2,2,100.0,2,2,100.0,2,2,100.0,0,0,0.0,40,0,1,2,50.0,10,0.0,6,772,0,128.7,5,2,58,29.0,0,0,0,2,170,114,44,85.0,57.0,0,0,0,0,0.0,0,0.0,0,4,56,14.0,0,0,0,0,0,0,0,0,0,22,10,9,3,16,30,53.3,2,2,100.0,4,30,67,324,4.8,2,0,1,0,0,0,0.0,22,33,-11,70,56,27
65005,2021-10-31,17:00:00 GMT,57,CIN,Cincinnati,Bengals,51,NYJ,New York,Jets,1132,MetLife Stadium,57,CIN,Cincinnati,Bengals,35,22,62.9,35.0,305,8.7,277,7.3,277.0,3,8.6,1,2.9,54,5,2,3,28,107.4,16,16.0,41,2.6,41.0,1,9,3,18.8,0,0,0,22,305,13.9,305.0,3,54,13,5,2,0,58,81,23,2,8,5,2,0,69,34.5,65,5,18,14,0,0,1,0,1,1,1,0,2,0,1,18,18.0,18,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,21,0,4,4,100.0,7,0.0,6,391,0,65.2,4,2,59,29.5,0,0,0,4,185,169,55,46.2,42.2,0,0,1,3,75.0,0,0.0,2,1,16,16.0,0,0,0,0,0,0,0,0,0,18,13,3,2,4,10,40.0,0,1,0.0,5,51,54,318,5.9,4,0,1,0,0,0,0.0,31,34,-3,55,84,28
65011,2021-10-31,17:00:00 GMT,59,PIT,Pittsburgh,Steelers,58,CLE,Cleveland,Browns,1101,FirstEnergy Stadium,58,CLE,Cleveland,Browns,31,20,64.5,31.0,225,7.3,210,6.0,210.0,0,0.0,0,0.0,24,2,0,4,15,86.1,23,23.0,96,4.2,96.0,1,21,7,30.4,1,0,0,20,225,11.2,225.0,0,24,10,2,0,0,48,75,27,2,11,3,0,0,0,0.0,0,6,21,18,0,0,1,1,1,0,0,0,0,0,1,10,10.0,10,0,0,0,0,0,2,1,0.5,1,0,0,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,30,0,1,1,100.0,4,0.0,3,190,0,63.3,1,2,44,22.0,0,0,0,4,197,168,56,49.2,42.0,0,1,1,1,25.0,0,0.0,0,2,29,14.5,0,0,0,0,0,0,0,0,0,19,10,7,2,3,10,30.0,0,2,0.0,5,30,58,306,5.3,1,0,1,0,0,0,0.0,10,15,-5,59,74,19
65003,2021-10-31,00:20:00 GMT,52,DAL,Dallas,Cowboys,63,MIN,Minnesota,Vikings,1246,US Bank Stadium,52,DAL,Dallas,Cowboys,41,25,61.0,41.0,360,8.8,341,7.8,341.0,2,4.9,1,2.4,73,5,1,3,19,95.6,24,24.0,78,3.2,78.0,0,8,4,16.7,0,0,0,25,360,14.4,360.0,2,73,17,5,1,0,43,55,12,1,7,0,0,0,0,0.0,0,4,25,27,0,0,2,1,1,0,0,0,0,0,1,22,22.0,22,0,1,0,0,0,2,4,2.0,7,0,0,0,1,0,0,2,3,66.7,0,0,0.0,0,0,0.0,2,2,100.0,0,1,0.0,0,0,0.0,39,0,2,2,100.0,8,0.0,5,325,0,65.0,5,0,0,0.0,0,0,0,4,181,174,54,45.2,43.5,0,0,1,1,25.0,0,0.0,2,1,7,7.0,0,0,0,0,0,0,0,0,0,23,17,4,2,7,14,50.0,0,0,0.0,11,96,68,419,6.2,2,1,0,0,0,0,1.0,20,16,4,73,66,30
65004,2021-10-31,20:25:00 GMT,55,WAS,Washington,Football Team,72,DEN,Denver,Broncos,1289,Empower Field at Mile High,72,DEN,Denver,Broncos,26,19,73.1,26.0,213,8.2,190,6.3,190.0,1,3.8,0,0.0,31,2,0,4,23,109.9,21,21.0,83,4.0,83.0,1,14,6,28.6,0,0,1,19,213,11.2,213.0,1,31,10,2,0,0,39,41,2,5,40,1,2,0,24,12.0,24,6,25,47,2,0,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,15,15.0,15,0,0,0,0,0,0,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,1,0.0,45,0,2,2,100.0,5,0.0,4,260,0,65.0,4,0,0,0.0,0,0,0,3,135,123,48,45.0,41.0,0,0,0,3,100.0,0,0.0,2,1,12,12.0,0,0,0,0,0,0,0,0,0,17,10,6,1,7,13,53.8,0,0,0.0,4,35,51,273,5.4,2,1,0,0,0,0,1.0,17,10,7,53,70,19
65012,2021-10-31,17:00:00 GMT,54,PHI,Philadelphia,Eagles,61,DET,Detroit,Lions,1106,Ford Field,61,DET,Detroit,Lions,34,25,73.5,34.0,222,6.5,171,4.3,171.0,0,0.0,0,0.0,35,1,0,6,51,90.6,18,18.0,57,3.2,57.0,1,9,3,16.7,0,0,0,25,222,8.9,222.0,0,35,11,1,0,0,41,75,34,0,0,2,0,0,0,0.0,0,1,11,10,0,0,3,1,0,2,0,0,2,0,4,126,31.5,41,0,4,1,0,0,1,11,11.0,11,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2,80,0,40.0,0,2,23,11.5,0,1,0,3,140,128,58,46.7,42.7,0,0,1,2,66.7,0,0.0,1,1,12,12.0,1,0,1,0,0,0,0,0,0,15,11,3,1,5,14,35.7,2,5,40.0,8,50,58,228,3.9,1,0,1,0,0,0,0.0,6,44,-38,62,65,25
