#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassNetYards,#PassAvg,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveTD,#FirstDownsTotal,#DefensiveTwoPt,#DefensiveXP,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
113955,2023-10-15,20:25:00 GMT,76,ARI,Arizona,Cardinals,77,LA,Los Angeles,Rams,1288,SoFi Stadium,76,ARI,Arizona,Cardinals,41,21,51.2,41.0,235,215,5.7,5.0,215.0,0,0.0,1,2.4,27,3,0,2,20,58.5,30,30.0,130,4.3,130.0,0,24,6,20.0,2,0,0,21,235,11.2,235.0,0,27,12,3,0,0,37,59,22,3,23,5,0,0,0,0.0,0,0,15,25,0,0,1,1,1,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,1,16,16.0,16,0,0,0,1,0,0,3,3,100.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,1,1,100.0,55,0,0,0,0.0,9,0.0,4,259,0,64.8,3,0,0,0.0,0,0,0,3,133,95,48,44.3,31.7,0,0,0,1,33.3,0,0.0,0,3,38,12.7,0,0,0,0,0,0,0,20,0,0,12,6,2,6,16,37.5,2,4,50.0,5,36,73,345,4.7,0,0,1,0,0,0,0.000,9,26,-17,76,57,27
113946,2023-10-15,17:00:00 GMT,55,WAS,Washington,Commanders,68,ATL,Atlanta,Falcons,1130,Mercedes-Benz Stadium,68,ATL,Atlanta,Falcons,47,28,59.6,47.0,307,296,6.5,5.9,296.0,2,4.3,3,6.4,32,3,0,3,11,66.5,29,29.0,106,3.7,106.0,0,13,5,17.2,0,0,0,28,307,11.0,307.0,2,32,18,3,0,0,32,51,19,5,30,1,0,0,0,0.0,0,4,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,11,3.7,8,0,0,0,2,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,47,0,1,1,100.0,4,0.0,4,252,0,63.0,3,1,13,13.0,0,0,0,3,140,79,52,46.7,26.3,0,1,1,2,66.7,0,0.0,0,1,61,61.0,1,0,0,0,1,0,0,25,0,0,18,5,2,5,15,33.3,1,3,33.3,4,31,79,402,5.1,2,0,1,0,0,0,0.000,16,24,-8,83,51,24
113945,2023-10-15,13:30:00 GMT,56,BAL,Baltimore,Ravens,67,TEN,Tennessee,Titans,1366,Tottenham Hotspur Stadium,56,BAL,Baltimore,Ravens,30,21,70.0,30.0,223,221,7.4,7.1,221.0,1,3.3,1,3.3,38,4,0,1,2,88.6,39,39.0,139,3.6,139.0,0,12,9,23.1,0,0,0,21,223,10.6,223.0,1,38,9,4,0,0,33,50,17,6,46,3,1,0,24,24.0,24,5,18,47,0,0,0,0,0,0,1,0,1,0,2,41,20.5,27,0,1,0,0,0,3,91,30.3,70,0,1,1,1,0,0,6,6,100.0,0,0,0.0,4,4,100.0,1,1,100.0,1,1,100.0,0,0,0.0,41,1,0,1,0.0,18,0.0,7,448,0,64.0,6,0,0,0.0,0,0,0,3,144,125,56,48.0,41.7,0,0,0,1,33.3,0,0.0,0,2,19,9.5,0,0,0,0,0,0,0,20,0,0,9,9,2,8,16,50.0,0,0,0.0,9,88,70,360,5.1,1,1,0,0,0,0,1.000,24,16,8,71,55,31
113957,2023-10-15,00:20:00 GMT,53,NYG,New York,Giants,48,BUF,Buffalo,Bills,1390,Highmark Stadium,48,BUF,Buffalo,Bills,30,19,63.3,30.0,169,169,5.6,5.6,169.0,2,6.7,1,3.3,28,1,0,0,0,86.7,29,29.0,128,4.4,128.0,0,14,7,24.1,0,0,0,19,169,8.9,169.0,2,28,12,1,0,0,52,77,25,3,15,2,0,0,0,0.0,0,3,26,28,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,3,3.0,3,0,0,0,3,0,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,2,2,100.0,2,0.0,3,182,0,60.7,1,2,30,15.0,0,0,0,3,127,113,52,42.3,37.7,0,0,0,1,33.3,0,0.0,1,2,14,7.0,0,0,0,0,0,0,0,22,0,0,12,7,3,6,12,50.0,0,0,0.0,7,51,59,297,5.0,2,1,0,0,0,0,1.000,14,9,5,61,77,21
113952,2023-10-15,17:00:00 GMT,69,CAR,Carolina,Panthers,49,MIA,Miami,Dolphins,1126,Hard Rock Stadium,69,CAR,Carolina,Panthers,39,24,61.5,39.0,224,188,5.7,4.4,188.0,1,2.6,0,0.0,27,3,0,4,36,85.8,25,25.0,108,4.3,108.0,1,19,6,24.0,0,0,0,24,224,9.3,224.0,1,27,13,3,0,0,38,60,22,0,0,0,1,1,61,61.0,61,6,25,14,0,0,0,0,0,0,0,0,0,0,1,31,31.0,31,0,1,0,0,0,2,21,10.5,11,0,0,0,1,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,3,3,100.0,3,0.0,4,202,0,50.5,3,1,0,0.0,0,1,0,4,189,169,55,47.2,42.2,0,0,0,1,25.0,0,0.0,3,1,20,20.0,0,0,0,0,0,0,1,21,0,1,13,6,2,5,14,35.7,0,4,0.0,3,11,68,296,4.4,3,0,1,0,0,0,0.000,21,42,-21,69,67,30
113947,2023-10-15,17:00:00 GMT,63,MIN,Minnesota,Vikings,60,CHI,Chicago,Bears,1098,Soldier Field,60,CHI,Chicago,Bears,24,16,66.7,24.0,141,113,5.9,3.9,113.0,0,0.0,2,8.3,39,2,0,5,28,47.4,36,36.0,162,4.5,162.0,1,17,9,25.0,0,0,1,16,148,9.2,148.0,0,39,8,2,0,0,40,64,24,2,14,3,0,0,0,0.0,0,3,20,32,1,0,2,1,3,1,1,0,2,0,3,90,30.0,53,0,3,1,0,0,1,12,12.0,12,0,0,0,2,0,0,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,53,0,1,1,100.0,7,0.0,4,260,0,65.0,4,0,0,0.0,0,0,0,4,176,144,50,44.0,36.0,0,0,1,1,25.0,0,0.0,0,3,32,10.7,0,0,0,0,0,0,0,18,0,0,8,9,1,6,14,42.9,0,1,0.0,5,29,65,275,4.2,1,0,1,0,0,0,0.000,13,19,-6,66,57,26
113948,2023-10-15,17:00:00 GMT,79,SEA,Seattle,Seahawks,57,CIN,Cincinnati,Bengals,1887,Paycor Stadium,57,CIN,Cincinnati,Bengals,35,24,68.6,35.0,185,168,5.3,4.4,168.0,2,5.7,1,2.9,31,2,0,3,17,88.4,15,15.0,46,3.1,46.0,0,5,3,20.0,0,0,0,24,185,7.7,185.0,2,31,10,2,0,0,55,75,20,4,29,0,2,0,24,12.0,24,8,23,36,0,0,0,0,0,0,0,0,0,0,1,27,27.0,27,0,1,0,0,0,1,1,1.0,1,0,0,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,52,0,2,2,100.0,5,0.0,4,258,0,64.5,3,1,21,21.0,0,0,0,6,274,240,55,45.7,40.0,0,0,1,1,16.7,0,0.0,2,3,34,11.3,0,0,0,0,0,0,0,15,0,0,10,3,2,3,11,27.3,0,0,0.0,5,43,53,214,4.0,2,1,0,0,0,0,1.000,17,13,4,54,74,23
113949,2023-10-15,17:00:00 GMT,78,SF,San Francisco,49ers,58,CLE,Cleveland,Browns,1101,FirstEnergy Stadium,58,CLE,Cleveland,Browns,34,18,52.9,34.0,192,174,5.6,4.8,174.0,0,0.0,2,5.9,58,2,1,2,18,45.2,34,34.0,160,4.7,160.0,1,22,10,29.4,2,0,0,18,192,10.7,192.0,0,58,6,2,1,0,39,50,11,3,18,4,1,0,14,14.0,14,4,26,33,0,0,1,0,0,1,0,0,1,0,2,42,21.0,23,0,1,0,0,0,5,44,8.8,11,0,0,0,1,0,0,4,5,80.0,0,0,0.0,1,1,100.0,0,0,0.0,2,3,66.7,1,1,100.0,50,0,1,1,100.0,13,0.0,6,385,0,64.2,4,2,45,22.5,0,0,0,4,218,205,69,54.5,51.2,0,0,1,3,75.0,1,25.0,0,2,13,6.5,0,0,0,0,0,0,0,18,0,0,6,10,2,3,13,23.1,1,1,100.0,13,119,70,334,4.8,1,1,0,0,0,0,1.000,19,17,2,76,62,31
113958,2023-10-16,00:15:00 GMT,52,DAL,Dallas,Cowboys,75,LAC,Los Angeles,Chargers,1288,SoFi Stadium,52,DAL,Dallas,Cowboys,30,21,70.0,30.0,272,246,9.1,7.0,246.0,1,3.3,0,0.0,60,3,1,5,26,109.3,26,26.0,96,3.7,96.0,1,18,5,19.2,0,0,0,21,272,13.0,272.0,1,60,12,3,1,0,44,56,12,1,8,2,1,0,0,0.0,0,9,22,12,0,0,1,1,0,0,0,0,0,0,1,21,21.0,21,0,1,0,0,0,2,15,7.5,15,0,0,0,2,0,0,2,2,100.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0,0.0,39,0,2,2,100.0,8,0.0,4,260,0,65.0,4,0,0,0.0,0,0,0,4,209,171,56,52.2,42.8,0,0,1,1,25.0,0,0.0,1,2,38,19.0,0,0,0,0,0,0,0,20,0,0,12,5,3,5,13,38.5,1,2,50.0,11,85,61,342,5.6,2,1,0,0,0,0,1.000,20,17,3,64,73,25
113944,2023-10-12,00:15:00 GMT,72,DEN,Denver,Broncos,73,KC,Kansas City,Chiefs,1365,GEHA Field at Arrowhead Stadium,72,DEN,Denver,Broncos,22,13,59.1,22.0,95,82,4.3,3.2,82.0,1,4.6,2,9.1,21,1,0,4,13,46.6,23,23.0,115,5.0,115.0,0,18,8,34.8,0,0,0,13,95,7.3,95.0,1,21,4,1,0,0,51,66,15,2,13,2,1,0,6,6.0,6,4,23,23,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,30,15.0,18,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2,130,0,65.0,2,0,0,0.0,0,0,0,5,224,189,52,44.8,37.8,0,0,2,1,20.0,0,0.0,0,2,35,17.5,1,1,0,0,1,1,0,14,0,0,4,8,2,4,10,40.0,0,1,0.0,3,34,49,197,4.0,1,0,1,0,0,0,0.000,8,19,-11,52,71,21
