Venue ID,Venue Name,Venue City, Venue State, Venue Country
66,Heinz Field,Pittsburgh, PA,USA
51,AT&T Stadium,Arlington, TX,USA
47,Bank of America Stadium,Charlotte, NC,USA
142,Mercedes-Benz Superdome,New Orleans, LA,USA
140,StubHub Center,Carson, CA,USA
52,Sports Authority Field at Mile High,Denver, CO,USA
73,FedEx Field,Landover, MD,USA
50,FirstEnergy Stadium,Cleveland, OH,USA
53,Ford Field,Detroit, MI,USA
58,Arrowhead Stadium,Kansas City, MO,USA
61,Gillette Stadium,Foxborough, MA,USA
59,Hard Rock Stadium,Miami Gardens, FL,USA
46,New Era Field,Orchard Park, NY,USA
54,Lambeau Field,Green Bay, WI,USA
68,Levi's Stadium,Santa Clara, CA,USA
65,Lincoln Financial Field,Philadelphia, PA,USA
74,Los Angeles Memorial Coliseum,Los Angeles, CA,USA
56,Lucas Oil Stadium,Indianapolis, IN,USA
69,CenturyLink Field,Seattle, WA,USA
45,M&T Bank Stadium,Baltimore, MD,USA
62,Mercedes-Benz Stadium,Atlanta, GA,USA
63,MetLife Stadium,East Rutherford, NJ,USA
72,Nissan Stadium,Nashville, TN,USA
55,NRG Stadium,Houston, TX,USA
64,Oakland-Alameda County Coliseum,Oakland, CA,USA
49,Paul Brown Stadium,Cincinnati, OH,USA
71,Raymond James Stadium,Tampa, FL,USA
48,Soldier Field,Chicago, IL,USA
43,University of Phoenix Stadium,Glendale, AZ,USA
57,EverBank Field,Jacksonville, FL,USA
141,US Bank Stadium,Minneapolis, MN,USA
143,Wembley Stadium,London,,England
