#Date/Time of Update: 2023-11-23 18:26:13 GMT,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential
,40463,2017-10-22,17:00:00 GMT,76,ARI,Arizona,Cardinals,77,LA,Los Angeles,Rams,1196,Twickenham Stadium,76,ARI,Arizona,Cardinals,32,15,46.9,32.0,188,5.9,175,5.0,175.0,0,0.0,2,6.2,25,3,0,3,13,39.6,12,12.0,25,2.1,25.0,0,6,1,8.3,0,0,0,15,184,12.3,184.0,0,25,8,3,0,0,61,67,6,1,7,4,1,0,39,39.0,39,4,22,45,0,0,1,0,0,1,0,0,1,0,2,46,23.0,25,0,2,0,0,0,1,9,9.0,9,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1,62,0,62.0,0,1,18,18.0,0,0,0,6,263,224,51,43.8,37.3,0,0,1,0,0.0,2,33.3,0,3,39,13.0,0,0,0,0,0,0,10,8,1,1,3,12,25.0,1,2,50.0,10,65,47,186,4.0,0,0,1,0,0,0,0.000,0,33,-33
,40471,2017-10-22,00:30:00 GMT,68,ATL,Atlanta,Falcons,50,NE,New England,Patriots,1129,Gillette Stadium,68,ATL,Atlanta,Falcons,33,23,69.7,33.0,233,7.1,223,6.6,223.0,1,3.0,0,0.0,22,1,0,1,10,99.7,21,21.0,111,5.3,111.0,0,21,7,33.3,1,0,0,23,233,10.1,233.0,1,22,13,1,0,0,56,81,25,2,8,5,0,0,0,0.0,0,1,17,13,0,0,2,1,1,0,0,0,0,0,5,82,16.4,25,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,1,0,2,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,1,1,100.0,1,0.0,1,58,0,58.0,0,1,14,14.0,0,0,0,2,84,85,49,42.0,42.5,0,0,0,0,0.0,0,0.0,1,1,-1,-1.0,0,0,0,0,0,0,20,13,7,0,2,9,22.2,0,2,0.0,5,35,55,334,6.1,1,0,1,0,0,0,0.000,7,23,-16
,40461,2017-10-22,17:00:00 GMT,56,BAL,Baltimore,Ravens,63,MIN,Minnesota,Vikings,1246,US Bank Stadium,56,BAL,Baltimore,Ravens,39,27,69.2,39.0,186,4.8,144,3.3,144.0,1,2.6,0,0.0,23,2,0,5,42,88.2,21,21.0,61,2.9,61.0,0,19,4,19.0,0,0,2,27,186,6.9,186.0,1,23,10,2,0,0,44,66,22,0,0,5,1,0,33,33.0,33,3,19,10,0,0,3,0,0,3,0,-6,3,0,5,113,22.6,31,0,4,0,0,0,0,0,0.0,0,0,0,0,1,0,0,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,1,1,100.0,57,0,1,1,100.0,10,0.0,4,257,0,64.2,3,1,20,20.0,0,0,0,3,167,84,60,55.7,28.0,0,0,0,0,0.0,0,0.0,0,3,83,27.7,0,0,0,0,0,0,16,10,4,2,6,16,37.5,1,1,100.0,3,15,65,205,3.2,1,0,1,0,0,0,0.000,16,24,-8
,40459,2017-10-22,17:00:00 GMT,71,TB,Tampa Bay,Buccaneers,48,BUF,Buffalo,Bills,1094,New Era Field,48,BUF,Buffalo,Bills,33,20,60.6,33.0,268,8.1,261,7.7,261.0,1,3.0,0,0.0,44,6,1,1,7,96.5,33,33.0,173,5.2,173.0,2,26,9,27.3,2,0,1,20,268,13.4,268.0,1,44,13,6,1,0,52,74,22,1,9,5,1,0,15,15.0,15,6,23,43,0,0,1,1,3,0,2,2,2,0,2,49,24.5,26,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,4,75.0,0,0,0.0,1,1,100.0,1,1,100.0,0,1,0.0,1,1,100.0,52,0,3,3,100.0,12,0.0,7,455,0,65.0,7,0,0,0.0,0,0,0,2,101,90,55,50.5,45.0,0,0,0,1,50.0,0,0.0,1,1,11,11.0,0,0,0,0,0,0,23,13,9,1,10,16,62.5,0,0,0.0,3,25,68,434,6.4,3,1,0,0,0,0,1.000,30,27,3
,40464,2017-10-22,17:00:00 GMT,69,CAR,Carolina,Panthers,60,CHI,Chicago,Bears,1098,Soldier Field,69,CAR,Carolina,Panthers,34,21,61.8,34.0,211,6.2,185,4.7,185.0,0,0.0,2,5.9,37,4,0,5,26,54.9,30,30.0,108,3.6,108.0,0,14,7,23.3,0,0,1,21,211,10.0,211.0,0,37,12,4,0,0,30,38,8,4,22,7,0,0,0,0.0,0,0,14,38,1,0,1,1,0,0,0,-76,0,0,2,43,21.5,25,0,1,0,0,0,3,35,11.7,18,0,0,0,2,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,36,0,0,0,0.0,3,0.0,2,130,0,65.0,2,0,0,0.0,0,0,0,5,263,251,59,52.6,50.2,0,0,1,1,20.0,1,20.0,1,2,12,6.0,0,0,0,0,0,0,20,12,7,1,6,15,40.0,0,1,0.0,4,35,69,293,4.2,0,0,1,0,0,0,0.000,3,17,-14
,40464,2017-10-22,17:00:00 GMT,69,CAR,Carolina,Panthers,60,CHI,Chicago,Bears,1098,Soldier Field,60,CHI,Chicago,Bears,7,4,57.1,7.0,107,15.3,85,7.7,85.0,0,0.0,0,0.0,70,2,1,4,22,101.8,26,26.0,68,2.6,68.0,0,11,3,11.5,0,0,0,4,107,26.8,107.0,0,70,2,2,1,0,55,65,10,5,26,9,2,1,8,4.0,8,5,23,-40,0,0,1,0,0,0,1,0,1,1,0,0,0.0,0,0,0,0,0,0,2,12,6.0,6,0,0,0,1,0,1,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,19,0,2,2,100.0,5,0.0,4,260,0,65.0,2,2,43,21.5,0,0,0,6,296,261,66,49.3,43.5,0,0,1,1,16.7,0,0.0,2,3,35,11.7,0,0,0,0,0,0,5,2,3,0,2,11,18.2,0,0,0.0,5,40,37,153,4.1,1,1,0,0,0,0,1.000,17,3,14
,40460,2017-10-22,20:25:00 GMT,57,CIN,Cincinnati,Bengals,59,PIT,Pittsburgh,Steelers,1139,Heinz Field,57,CIN,Cincinnati,Bengals,30,17,56.7,30.0,140,4.7,108,3.2,108.0,2,6.7,2,6.7,22,1,0,4,32,63.2,17,17.0,71,4.2,71.0,0,25,2,11.8,1,0,0,17,140,8.2,140.0,2,22,8,1,0,0,46,76,30,0,0,8,0,0,0,0.0,0,3,22,19,0,0,1,0,0,1,0,0,1,0,3,61,20.3,30,0,1,0,0,0,1,19,19.0,19,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2,2,100.0,2,0.0,3,190,0,63.3,2,1,16,16.0,0,0,0,5,250,243,58,50.0,48.6,0,0,2,2,40.0,0,0.0,2,1,7,7.0,0,0,0,0,0,0,11,8,2,1,3,11,27.3,1,2,50.0,4,49,50,179,3.6,2,0,1,0,0,0,0.000,14,29,-15
,40465,2017-10-22,17:00:00 GMT,67,TEN,Tennessee,Titans,58,CLE,Cleveland,Browns,1101,FirstEnergy Stadium,58,CLE,Cleveland,Browns,39,22,56.4,39.0,235,6.0,218,5.3,218.0,0,0.0,3,7.7,31,2,0,2,17,42.2,26,26.0,66,2.5,66.0,0,13,2,7.7,0,0,0,22,235,10.7,235.0,0,31,15,2,0,0,46,77,31,2,14,10,0,0,0,0.0,0,6,28,34,0,0,0,0,1,0,1,0,1,0,1,30,30.0,30,0,1,0,0,0,3,17,5.7,13,0,0,0,0,0,0,3,3,100.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,1,1,100.0,54,0,0,0,0.0,9,0.0,4,260,0,65.0,4,0,0,0.0,0,0,0,4,178,158,53,44.5,39.5,0,0,1,0,0.0,0,0.0,0,3,20,6.7,0,0,0,0,0,0,20,15,2,3,3,13,23.1,1,2,50.0,12,81,67,284,4.2,0,0,1,0,0,1,0.000,9,12,-3
,40468,2017-10-22,20:05:00 GMT,52,DAL,Dallas,Cowboys,78,SF,San Francisco,49ers,1144,Levi's Stadium,52,DAL,Dallas,Cowboys,27,17,63.0,27.0,236,8.7,236,8.7,236.0,3,11.1,0,0.0,72,3,1,0,0,128.0,43,43.0,265,6.2,265.0,3,45,14,32.6,1,1,0,17,236,13.9,236.0,3,72,12,3,1,0,53,61,8,5,36,15,0,0,0,0.0,0,4,28,49,0,0,0,0,4,0,3,0,3,0,0,0,0.0,0,0,0,0,0,0,1,13,13.0,13,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4,5,80.0,4,0.0,7,428,0,61.1,3,4,63,15.8,0,0,0,2,95,85,62,47.5,42.5,0,0,0,1,50.0,0,0.0,1,1,10,10.0,1,0,1,0,0,0,27,12,14,1,7,11,63.6,0,1,0.0,5,36,70,501,7.2,6,1,0,0,0,0,1.000,40,10,30
,40470,2017-10-22,20:25:00 GMT,72,DEN,Denver,Broncos,75,LAC,Los Angeles,Chargers,1245,StubHub Center,72,DEN,Denver,Broncos,35,25,71.4,35.0,207,5.9,94,2.4,94.0,0,0.0,1,2.9,23,1,0,5,113,74.4,19,19.0,69,3.6,69.0,0,11,3,15.8,0,0,0,25,207,8.3,207.0,0,23,8,1,0,0,44,59,15,3,89,8,0,0,0,0.0,0,3,23,93,0,0,3,2,0,1,0,0,1,0,3,93,31.0,61,0,2,1,0,0,5,55,11.0,16,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1,65,0,65.0,1,0,0,0.0,0,0,0,8,349,261,46,43.6,32.6,0,0,0,2,25.0,0,0.0,5,3,88,29.3,0,0,0,0,0,0,13,8,3,2,3,14,21.4,0,2,0.0,9,68,59,163,2.8,0,0,1,0,0,0,0.000,0,21,-21
