#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
46017,2018-10-07,20:25:00 GMT,76,ARI,Arizona,Cardinals,78,SF,San Francisco,49ers,1144,Levi's Stadium,76,ARI,Arizona,Cardinals,25,10,40.0,25.0,170,6.8,164,6.3,164.0,1,4.0,0,0.0,75,2,1,1,6,77.1,23,23.0,56,2.4,56.0,2,10,4,17.4,0,0,1,10,170,17.0,170.0,1,75,5,2,1,0,72,96,24,4,62,16,2,0,30,15.0,21,10,34,8,0,0,1,0,3,1,3,-6,4,1,0,0,0.0,0,0,0,0,0,0,1,1,1.0,1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4,4,100.0,4,0.0,5,331,0,66.2,3,2,61,30.5,0,0,0,8,317,314,52,39.6,39.2,0,1,3,3,37.5,0,0.0,1,2,3,1.5,0,0,0,0,0,0,10,5,4,1,2,12,16.7,0,0,0.0,5,46,50,220,4.4,4,1,0,0,0,0,1.0,28,18,10,0,0,0
46008,2018-10-07,17:00:00 GMT,68,ATL,Atlanta,Falcons,59,PIT,Pittsburgh,Steelers,1139,Heinz Field,68,ATL,Atlanta,Falcons,45,31,68.9,45.0,305,6.8,266,5.2,266.0,1,2.2,0,0.0,43,3,1,6,39,95.1,19,19.0,62,3.3,62.0,1,20,4,21.0,1,0,0,31,305,9.8,305.0,1,43,14,3,1,0,38,57,19,0,0,1,1,0,0,0.0,0,4,15,4,0,0,1,1,1,0,0,0,0,0,2,44,22.0,23,0,2,0,0,0,2,3,1.5,3,0,0,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,47,0,2,2,100.0,5,0.0,4,261,0,65.2,3,1,23,23.0,0,0,0,3,117,117,42,39.0,39.0,0,1,1,2,66.7,0,0.0,1,0,0,0.0,0,0,0,0,0,0,22,14,4,4,6,14,42.9,1,3,33.3,6,70,70,328,4.7,2,0,1,0,0,0,0.0,17,41,-24,0,0,0
46009,2018-10-07,17:00:00 GMT,56,BAL,Baltimore,Ravens,58,CLE,Cleveland,Browns,1101,FirstEnergy Stadium,56,BAL,Baltimore,Ravens,57,29,50.9,57.0,298,5.2,294,5.0,294.0,0,0.0,1,1.8,28,3,0,2,4,59.0,25,25.0,116,4.6,116.0,0,19,9,36.0,0,0,0,29,298,10.3,298.0,0,28,14,3,0,0,52,70,18,5,38,12,1,0,0,0.0,0,8,32,61,0,0,4,1,1,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0,5,73,14.6,25,0,1,0,2,0,1,3,4,75.0,0,0,0.0,1,1,100.0,1,1,100.0,1,2,50.0,0,0,0.0,44,0,0,0,0.0,9,0.0,5,325,0,65.0,5,0,0,0.0,0,0,0,8,366,343,56,45.8,42.9,0,0,1,6,75.0,1,12.5,3,3,23,7.7,0,0,0,0,0,0,26,14,9,3,4,16,25.0,1,1,100.0,4,41,84,410,4.9,0,0,1,0,0,1,0.0,9,12,-3,0,0,0
46015,2018-10-07,17:00:00 GMT,67,TEN,Tennessee,Titans,48,BUF,Buffalo,Bills,1094,New Era Field,48,BUF,Buffalo,Bills,20,10,50.0,20.0,82,4.1,79,3.8,79.0,0,0.0,1,5.0,13,0,0,1,3,40.0,43,43.0,144,3.4,144.0,1,16,10,23.3,0,0,0,10,82,8.2,82.0,0,13,6,0,0,0,43,55,12,2,7,9,1,0,-2,-2.0,-2,5,18,14,0,0,0,0,3,0,2,0,2,0,1,27,27.0,27,0,1,0,0,0,1,8,8.0,8,0,0,0,1,0,0,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,46,0,1,1,100.0,7,0.0,3,194,0,64.7,2,1,33,33.0,0,0,0,3,127,88,45,42.3,29.3,0,0,0,0,0.0,1,33.3,0,2,39,19.5,0,0,0,0,0,0,17,6,10,1,4,13,30.8,2,3,66.7,4,30,65,223,3.4,1,1,0,0,0,0,1.0,13,12,1,0,0,0
46014,2018-10-07,17:00:00 GMT,53,NYG,New York,Giants,69,CAR,Carolina,Panthers,1096,Bank of America Stadium,69,CAR,Carolina,Panthers,35,21,60.0,35.0,237,6.8,232,6.4,232.0,2,5.7,2,5.7,27,6,0,1,5,75.5,31,31.0,118,3.8,118.0,0,18,6,19.4,0,0,1,21,237,11.3,237.0,2,27,12,6,0,0,36,54,18,1,1,8,2,0,18,9.0,18,6,23,26,0,0,1,0,0,0,1,0,1,1,0,0,0.0,0,0,0,0,0,0,1,-3,-3.0,-3,0,0,0,1,0,0,4,4,100.0,0,0,0.0,0,0,0.0,1,1,100.0,2,2,100.0,1,1,100.0,63,0,3,3,100.0,15,0.0,8,527,0,65.9,5,3,79,26.3,0,0,0,3,156,130,55,52.0,43.3,0,0,0,0,0.0,0,0.0,0,3,26,8.7,0,0,0,0,0,0,20,12,6,2,4,13,30.8,1,1,100.0,3,19,67,350,5.2,3,1,0,0,0,0,1.0,33,31,2,0,0,0
46013,2018-10-07,17:00:00 GMT,49,MIA,Miami,Dolphins,57,CIN,Cincinnati,Bengals,1099,Paul Brown Stadium,57,CIN,Cincinnati,Bengals,30,20,66.7,30.0,248,8.3,229,7.2,229.0,1,3.3,1,3.3,31,5,0,2,19,89.3,26,26.0,103,4.0,103.0,0,31,3,11.5,1,0,0,20,248,12.4,248.0,1,31,12,5,0,0,38,62,24,3,35,7,2,1,0,0.0,0,8,22,33,0,0,1,0,1,0,1,0,1,1,0,0,0.0,0,0,0,0,0,0,2,19,9.5,13,0,0,0,3,0,1,2,3,66.7,0,0,0.0,1,1,100.0,0,1,0.0,0,0,0.0,1,1,100.0,51,0,3,3,100.0,9,0.0,6,407,0,67.8,3,3,91,30.3,0,0,0,4,173,88,50,43.2,22.0,0,0,1,1,25.0,0,0.0,0,3,85,28.3,0,0,0,0,0,0,18,12,3,3,2,11,18.2,0,0,0.0,6,47,58,332,5.7,2,1,0,0,0,0,1.0,27,17,10,0,0,0
46009,2018-10-07,17:00:00 GMT,56,BAL,Baltimore,Ravens,58,CLE,Cleveland,Browns,1101,FirstEnergy Stadium,58,CLE,Cleveland,Browns,43,25,58.1,43.0,342,8.0,304,6.3,304.0,1,2.3,1,2.3,39,6,0,5,38,81.7,28,28.0,112,4.0,112.0,0,17,6,21.4,0,0,0,25,342,13.7,342.0,1,39,13,6,0,0,47,77,30,2,4,5,1,0,0,0.0,0,10,38,15,1,0,1,0,2,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,3,23,7.7,12,0,0,0,3,0,0,2,3,66.7,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,0,1,0.0,55,0,0,1,0.0,6,0.0,3,195,0,65.0,3,0,0,0.0,0,0,0,9,452,379,64,50.2,42.1,0,1,0,2,22.2,1,11.1,2,5,73,14.6,0,0,0,0,0,0,20,13,6,1,6,19,31.6,0,1,0.0,10,66,76,416,5.5,1,1,0,0,1,0,1.0,12,9,3,0,0,0
46020,2018-10-07,00:20:00 GMT,52,DAL,Dallas,Cowboys,64,HOU,Houston,Texans,1110,NRG Stadium,52,DAL,Dallas,Cowboys,29,18,62.1,29.0,208,7.2,194,6.3,194.0,1,3.4,2,6.9,44,3,2,2,14,66.4,29,29.0,98,3.4,98.0,0,14,6,20.7,0,0,0,18,208,11.6,208.0,1,44,8,3,2,0,53,83,30,1,1,5,1,0,15,15.0,15,5,18,3,0,0,0,0,1,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,2,22,11.0,22,0,1,0,0,0,0,3,3,100.0,0,0,0.0,1,1,100.0,0,0,0.0,2,2,100.0,0,0,0.0,48,0,1,1,100.0,10,0.0,5,325,0,65.0,5,0,0,0.0,0,0,0,5,220,191,55,44.0,38.2,0,0,0,2,40.0,1,20.0,2,2,29,14.5,0,0,0,0,0,0,14,8,6,0,4,14,28.6,1,1,100.0,7,72,60,292,4.9,1,0,1,0,0,1,0.0,16,19,-3,0,0,0
46010,2018-10-07,17:00:00 GMT,72,DEN,Denver,Broncos,51,NYJ,New York,Jets,1132,MetLife Stadium,72,DEN,Denver,Broncos,51,35,68.6,51.0,377,7.4,344,6.2,344.0,2,3.9,1,2.0,42,4,1,4,33,95.0,17,17.0,92,5.4,92.0,0,29,5,29.4,2,0,0,35,377,10.8,377.0,2,42,19,4,1,0,33,59,26,1,9,6,1,0,2,2.0,2,7,18,27,0,0,2,0,1,2,1,0,3,0,1,27,27.0,27,0,1,0,0,0,1,1,1.0,1,0,0,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,30,0,1,1,100.0,4,0.0,3,188,0,62.7,1,2,30,15.0,0,0,0,8,329,258,57,41.1,32.2,0,2,0,2,25.0,0,0.0,2,4,71,17.8,1,0,1,0,0,0,26,19,5,2,4,14,28.6,0,1,0.0,6,45,72,436,6.1,2,0,1,0,0,0,0.0,16,34,-18,0,0,0
46011,2018-10-07,17:00:00 GMT,62,GB,Green Bay,Packers,61,DET,Detroit,Lions,1106,Ford Field,61,DET,Detroit,Lions,26,14,53.8,26.0,183,7.0,170,5.9,170.0,2,7.7,0,0.0,60,1,1,3,13,101.9,28,28.0,94,3.4,94.0,2,24,6,21.4,1,0,0,14,183,13.1,183.0,2,60,9,1,1,0,47,55,8,4,24,5,0,0,0,0.0,0,3,27,26,0,0,0,0,2,0,3,0,3,0,1,30,30.0,30,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,2,50.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,1,0.0,39,0,4,4,100.0,7,0.0,6,368,0,61.3,4,2,72,36.0,0,0,0,5,228,221,53,45.6,44.2,0,0,1,3,60.0,0,0.0,2,2,7,3.5,0,0,0,0,0,0,18,9,6,3,5,13,38.5,0,0,0.0,7,50,57,264,4.6,4,1,0,0,0,0,1.0,31,23,8,0,0,0
