#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveTD,#FirstDownsTotal,#DefensiveTwoPt,#DefensiveXP,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
56768,2020-09-13,20:25:00 GMT,76,ARI,Arizona,Cardinals,78,SF,San Francisco,49ers,1144,Levi's Stadium,76,ARI,Arizona,Cardinals,40,26,65.0,40.0,230,5.8,224,5.3,224.0,1,2.5,1,2.5,33,1,0,2,6,78.1,36,36.0,180,5.0,180.0,2,25,13,36.1,3,0,1,26,235,9.0,235.0,1,33,13,1,0,0,41,61,20,3,16,2,0,0,0,0.0,0,4,21,22,0,0,1,0,0,1,0,0,1,0,1,42,42.0,42,0,1,1,0,0,2,8,4.0,8,0,0,0,1,0,0,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,1,2,50.0,56,0,3,3,100.0,6,0.0,4,254,0,63.5,3,1,16,16.0,0,0,0,4,191,162,53,47.8,40.5,0,0,1,1,25.0,0,0.0,0,3,29,9.7,0,0,0,0,0,0,0,29,0,0,12,13,4,7,14,50.0,0,0,0.0,9,102,78,404,5.2,3,1,0,0,0,0,1.0,24,20,4,0,0,0
56757,2020-09-13,17:00:00 GMT,79,SEA,Seattle,Seahawks,68,ATL,Atlanta,Falcons,1130,Mercedes-Benz Stadium,68,ATL,Atlanta,Falcons,54,37,68.5,54.0,450,8.3,434,7.8,434.0,2,3.7,1,1.8,44,5,1,2,16,98.5,21,21.0,72,3.4,72.0,1,15,5,23.8,0,0,1,37,450,12.2,450.0,2,44,23,5,1,0,37,64,27,3,23,3,0,0,0,0.0,0,2,11,29,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,8,8.0,8,0,0,0,2,0,0,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,49,0,1,2,50.0,7,0.0,5,262,0,52.4,2,2,43,21.5,0,1,1,2,100,85,55,50.0,42.5,0,0,0,0,0.0,0,0.0,1,1,15,15.0,1,0,1,0,0,0,0,28,0,0,23,4,1,7,14,50.0,0,4,0.0,6,72,77,506,6.6,3,0,1,0,0,0,0.0,25,38,-13,0,0,0
56758,2020-09-13,17:00:00 GMT,58,CLE,Cleveland,Browns,56,BAL,Baltimore,Ravens,1091,M&T Bank Stadium,56,BAL,Baltimore,Ravens,26,21,80.8,26.0,284,10.9,270,9.6,270.0,3,11.5,0,0.0,47,5,1,2,14,150.6,30,30.0,107,3.6,107.0,2,18,7,23.3,0,0,2,21,284,13.5,284.0,3,47,16,5,1,0,37,61,24,2,21,5,1,0,8,8.0,8,6,27,26,0,0,2,1,4,0,0,0,0,0,2,64,32.0,38,0,2,0,0,0,2,26,13.0,17,0,0,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,41,0,5,5,100.0,8,0.0,7,455,0,65.0,7,0,0,0.0,0,0,0,3,125,124,49,41.7,41.3,0,1,1,2,66.7,0,0.0,0,1,1,1.0,0,0,0,0,0,0,0,23,0,0,16,7,0,6,11,54.6,0,0,0.0,7,66,58,377,6.5,5,1,0,0,0,0,1.0,38,6,32,0,0,0
56759,2020-09-13,17:00:00 GMT,51,NYJ,New York,Jets,48,BUF,Buffalo,Bills,1296,Bills Stadium,48,BUF,Buffalo,Bills,46,33,71.7,46.0,312,6.8,306,6.2,306.0,2,4.4,0,0.0,29,3,0,3,6,104.6,32,32.0,98,3.1,98.0,1,16,9,28.1,0,0,2,33,312,9.4,312.0,2,29,17,3,0,0,31,47,16,3,13,6,1,0,0,0.0,0,4,21,26,0,0,2,2,3,0,0,0,0,0,1,31,31.0,31,0,1,0,0,0,5,69,13.8,23,0,1,0,1,0,0,2,4,50.0,1,1,100.0,1,1,100.0,0,2,0.0,0,0,0.0,0,0,0.0,22,0,3,3,100.0,9,0.0,6,390,0,65.0,4,2,42,21.0,0,0,0,1,53,53,53,53.0,53.0,0,0,0,0,0.0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,31,0,0,17,8,6,7,14,50.0,1,1,100.0,7,80,81,404,5.0,3,1,0,0,0,0,1.0,27,17,10,0,0,0
56760,2020-09-13,17:00:00 GMT,74,LV,Las Vegas,Raiders,69,CAR,Carolina,Panthers,1096,Bank of America Stadium,69,CAR,Carolina,Panthers,34,22,64.7,34.0,269,7.9,259,7.4,259.0,1,2.9,0,0.0,75,1,1,1,10,98.8,30,30.0,129,4.3,129.0,2,15,8,26.7,0,0,0,22,270,12.3,270.0,1,75,13,1,1,0,34,68,34,0,0,1,0,0,0,0.0,0,3,14,8,0,0,0,0,1,0,0,0,0,0,4,109,27.2,38,0,4,0,0,0,2,29,14.5,19,0,0,0,0,0,0,3,3,100.0,0,0,0.0,0,0,0.0,1,1,100.0,2,2,100.0,0,0,0.0,47,0,1,2,50.0,10,0.0,6,390,0,65.0,6,0,0,0.0,0,0,0,2,120,83,60,60.0,41.5,0,0,0,0,0.0,0,0.0,0,2,37,18.5,1,1,1,1,0,0,0,22,0,0,13,8,1,7,13,53.8,1,2,50.0,5,65,65,388,6.0,3,0,1,0,0,0,0.0,30,34,-4,0,0,0
56761,2020-09-13,17:00:00 GMT,60,CHI,Chicago,Bears,61,DET,Detroit,Lions,1106,Ford Field,60,CHI,Chicago,Bears,36,20,55.6,36.0,242,6.7,214,5.8,214.0,3,8.3,0,0.0,27,3,0,1,28,104.2,28,28.0,149,5.3,149.0,0,20,7,25.0,1,0,0,20,242,12.1,242.0,3,27,15,3,0,0,48,64,16,1,9,2,1,0,5,5.0,5,8,22,12,0,0,1,0,0,1,0,0,1,0,3,110,36.7,45,0,3,1,0,0,1,0,0.0,0,0,0,0,1,0,0,2,2,100.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,35,0,3,3,100.0,9,0.0,6,396,0,66.0,4,2,66,33.0,0,0,0,5,213,197,55,42.6,39.4,0,0,1,2,40.0,0,0.0,3,1,16,16.0,0,0,0,0,0,0,0,26,0,0,15,7,4,2,11,18.2,1,2,50.0,6,48,65,363,5.6,3,1,0,0,0,0,1.0,27,23,4,0,0,0
56766,2020-09-13,20:05:00 GMT,75,LAC,Los Angeles,Chargers,57,CIN,Cincinnati,Bengals,1099,Paul Brown Stadium,57,CIN,Cincinnati,Bengals,36,23,63.9,36.0,193,5.4,173,4.4,173.0,0,0.0,1,2.8,19,0,0,3,20,66.1,28,28.0,122,4.4,122.0,1,23,5,17.9,1,0,2,23,193,8.4,193.0,0,19,14,0,0,0,40,77,37,2,1,3,0,0,0,0.0,0,6,24,5,0,0,2,1,1,0,0,0,0,0,1,44,44.0,44,0,1,1,0,0,2,29,14.5,22,0,1,0,0,0,0,2,3,66.7,0,0,0.0,0,0,0.0,0,1,0.0,1,1,100.0,1,1,100.0,50,0,1,1,100.0,7,0.0,4,256,0,64.0,3,1,46,46.0,0,0,0,6,330,306,70,55.0,51.0,0,0,0,2,33.3,3,50.0,1,2,24,12.0,0,0,0,0,0,0,0,19,0,0,14,5,0,6,14,42.9,0,0,0.0,7,44,67,295,4.4,1,0,1,0,0,0,0.0,13,16,-3,0,0,0
56758,2020-09-13,17:00:00 GMT,58,CLE,Cleveland,Browns,56,BAL,Baltimore,Ravens,1091,M&T Bank Stadium,58,CLE,Cleveland,Browns,39,21,53.8,39.0,189,4.8,168,4.1,168.0,1,2.6,1,2.6,28,3,0,2,21,65.0,27,27.0,138,5.1,138.0,0,29,7,25.9,2,0,3,21,189,9.0,189.0,1,28,10,3,0,0,42,59,17,2,14,1,0,0,0,0.0,0,0,17,23,0,0,3,2,0,5,0,13,5,0,0,0,0.0,0,0,0,0,0,0,1,1,1.0,1,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0.0,0,0.0,2,130,0,65.0,0,2,64,32.0,0,0,0,3,137,111,59,45.7,37.0,0,0,1,1,33.3,0,0.0,0,2,26,13.0,0,0,0,0,0,0,0,20,0,0,10,6,4,3,12,25.0,0,3,0.0,8,80,68,306,4.5,1,0,1,0,0,0,0.0,6,38,-32,0,0,0
56769,2020-09-13,00:20:00 GMT,52,DAL,Dallas,Cowboys,77,LA,Los Angeles,Rams,1288,SoFi Stadium,52,DAL,Dallas,Cowboys,39,25,64.1,39.0,266,6.8,244,5.8,244.0,1,2.6,0,0.0,33,2,0,3,22,92.5,27,27.0,136,5.0,136.0,1,14,9,33.3,0,0,0,25,266,10.6,266.0,1,33,14,2,0,0,49,76,27,1,6,1,1,0,0,0.0,0,5,16,7,0,0,0,0,0,0,0,0,0,0,2,48,24.0,27,0,2,0,0,0,1,20,20.0,20,0,1,0,2,0,0,1,2,50.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,1,0.0,33,0,2,2,100.0,5,0.0,4,252,0,63.0,3,1,20,20.0,0,0,0,4,156,156,54,39.0,39.0,0,0,0,2,50.0,0,0.0,4,0,0,0.0,0,0,0,0,0,0,0,24,0,0,14,9,1,3,12,25.0,1,3,33.3,7,50,69,380,5.5,2,0,1,0,0,0,0.0,17,20,-3,0,0,0
56771,2020-09-14,02:10:00 GMT,67,TEN,Tennessee,Titans,72,DEN,Denver,Broncos,1289,Empower Field at Mile High,72,DEN,Denver,Broncos,33,22,66.7,33.0,216,6.6,216,6.6,216.0,1,3.0,0,0.0,31,3,0,0,0,95.0,26,26.0,107,4.1,107.0,1,25,5,19.2,1,0,2,22,216,9.8,216.0,1,31,12,3,0,0,56,76,20,1,2,1,0,0,0,0.0,0,7,21,3,1,0,4,1,0,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0,2,16,8.0,12,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2,2,100.0,2,0.0,3,194,0,64.7,2,1,19,19.0,0,0,0,5,244,225,56,48.8,45.0,0,1,0,3,60.0,0,0.0,1,3,19,6.3,0,0,0,0,0,0,0,19,0,0,12,6,1,3,9,33.3,0,1,0.0,5,56,59,323,5.5,2,0,1,0,0,0,0.0,14,16,-2,0,0,0
