#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassNetYards,#PassAvg,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveTwoPt,#DefensiveXP,#DefensiveTD,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
56776,2020-09-20,20:05:00 GMT,55,WAS,Washington,Football Team,76,ARI,Arizona,Cardinals,1269,State Farm Stadium,76,ARI,Arizona,Cardinals,38,26,68.4,38.0,286,278,7.5,6.8,278.0,1,2.6,1,2.6,54,4,2,3,8,88.3,32,32.0,160,5.0,160.0,2,21,8,25.0,1,0,0,26,288,11.1,288.0,1,54,13,4,2,0,46,55,9,4,27,2,0,0,0,0.0,0,7,23,33,0,0,1,0,3,0,3,0,3,0,1,0,0.0,0,0,0,0,0,0,2,5,2.5,4,0,0,0,2,0,0,3,3,100.0,0,0,0.0,1,1,100.0,1,1,100.0,1,1,100.0,0,0,0.0,49,0,3,3,100.0,12,0.0,7,449,0,64.1,4,3,47,15.7,0,0,0,4,197,180,58,49.2,45.0,0,0,0,1,25.0,0,0.0,1,3,17,5.7,0,0,0,0,0,0,0,0,0,22,13,8,1,7,17,41.2,2,2,100.0,11,97,73,438,6.0,3,1,0,0,0,0,1.0,30,15,15,0,0,0
56785,2020-09-20,17:00:00 GMT,68,ATL,Atlanta,Falcons,52,DAL,Dallas,Cowboys,1103,AT&T Stadium,68,ATL,Atlanta,Falcons,37,24,64.9,37.0,273,267,7.4,7.0,267.0,4,10.8,0,0.0,42,5,1,1,6,122.9,34,34.0,113,3.3,113.0,0,10,5,14.7,0,0,0,24,273,11.4,273.0,4,42,15,5,1,0,55,82,27,1,7,4,0,0,0,0.0,0,5,21,13,0,0,0,0,4,0,3,3,3,0,3,62,20.7,25,0,2,0,0,0,0,0,0.0,0,0,0,0,1,0,0,4,4,100.0,0,0,0.0,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0.0,42,0,3,3,100.0,15,0.0,9,594,0,66.0,4,5,106,21.2,0,0,0,4,158,155,44,39.5,38.8,0,0,0,1,25.0,0,0.0,3,1,3,3.0,1,0,1,0,0,0,0,0,0,22,15,5,2,8,17,47.1,2,2,100.0,8,51,72,380,5.3,4,0,1,0,0,0,0.0,39,40,-1,0,0,0
56775,2020-09-20,20:25:00 GMT,56,BAL,Baltimore,Ravens,64,HOU,Houston,Texans,1110,NRG Stadium,56,BAL,Baltimore,Ravens,24,18,75.0,24.0,204,177,8.5,6.3,177.0,1,4.2,0,0.0,29,3,0,4,27,113.9,37,37.0,230,6.2,230.0,1,44,11,29.7,2,1,0,18,204,11.3,204.0,1,29,11,3,0,0,41,57,16,4,22,0,1,0,9,9.0,9,6,16,24,0,0,0,0,0,1,0,0,1,1,3,55,18.3,21,0,2,0,0,0,1,8,8.0,8,0,0,0,2,0,0,4,4,100.0,0,0,0.0,1,1,100.0,2,2,100.0,1,1,100.0,0,0,0.0,47,0,3,3,100.0,15,0.0,8,520,0,65.0,7,1,17,17.0,0,0,0,2,94,84,53,47.0,42.0,0,0,0,1,50.0,0,0.0,1,1,10,10.0,0,0,0,0,0,0,0,0,0,23,11,11,1,5,14,35.7,2,2,100.0,3,21,65,407,6.3,3,1,0,0,0,0,1.0,33,16,17,0,0,0
56782,2020-09-20,17:00:00 GMT,48,BUF,Buffalo,Bills,49,MIA,Miami,Dolphins,1126,Hard Rock Stadium,48,BUF,Buffalo,Bills,35,24,68.6,35.0,415,411,11.9,11.4,411.0,4,11.4,0,0.0,47,9,3,1,4,146.7,23,23.0,112,4.9,112.0,0,18,7,30.4,0,0,0,24,417,17.4,417.0,4,47,15,9,3,0,48,68,20,3,17,0,0,0,0,0.0,0,9,24,18,0,0,1,1,1,0,0,0,0,0,2,-1,-0.5,0,0,0,0,0,0,2,18,9.0,11,0,0,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,39,0,4,4,100.0,7,0.0,6,390,0,65.0,6,0,0,0.0,0,0,0,4,164,153,45,41.0,38.2,0,1,0,2,50.0,0,0.0,1,2,11,5.5,0,0,0,0,0,0,0,0,0,23,15,7,1,5,10,50.0,0,0,0.0,6,55,59,523,8.9,4,1,0,0,0,0,1.0,31,28,3,0,0,0
56778,2020-09-20,17:00:00 GMT,69,CAR,Carolina,Panthers,71,TB,Tampa Bay,Buccaneers,1151,Raymond James Stadium,69,CAR,Carolina,Panthers,42,33,78.6,42.0,367,340,8.7,7.2,340.0,0,0.0,2,4.8,39,3,0,5,27,83.2,24,24.0,87,3.6,87.0,2,14,5,20.8,0,0,0,33,367,11.1,367.0,0,39,18,3,0,0,31,52,21,0,0,3,1,0,44,44.0,44,2,17,33,0,0,3,2,0,0,1,6,1,0,0,0,0.0,0,0,0,0,0,0,1,-1,-1.0,-1,0,0,0,2,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,23,0,2,2,100.0,5,0.0,4,206,0,51.5,3,1,0,0.0,0,1,0,2,101,101,57,50.5,50.5,0,0,0,1,50.0,1,50.0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,24,18,5,1,6,11,54.6,1,2,50.0,9,77,71,427,6.0,2,0,1,0,0,0,0.0,17,31,-14,0,0,0
56786,2020-09-20,17:00:00 GMT,53,NYG,New York,Giants,60,CHI,Chicago,Bears,1098,Soldier Field,60,CHI,Chicago,Bears,28,18,64.3,28.0,190,169,6.8,5.3,169.0,2,7.1,2,7.1,28,1,0,4,21,78.0,32,32.0,135,4.2,135.0,0,23,7,21.9,1,0,0,18,189,10.5,189.0,2,28,11,1,0,0,45,54,9,4,23,2,1,0,10,10.0,10,5,23,33,0,0,1,0,2,0,2,0,2,0,4,93,23.2,30,0,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,2,50.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,1,0.0,34,0,2,2,100.0,5,0.0,4,265,0,66.2,2,2,56,28.0,0,0,0,3,134,123,51,44.7,41.0,0,0,2,2,66.7,0,0.0,0,1,11,11.0,0,0,0,0,0,0,0,0,0,18,11,7,0,9,16,56.2,1,1,100.0,5,48,64,304,4.8,2,1,0,0,0,0,1.0,17,13,4,0,0,0
56772,2020-09-17,00:20:00 GMT,57,CIN,Cincinnati,Bengals,58,CLE,Cleveland,Browns,1101,FirstEnergy Stadium,57,CIN,Cincinnati,Bengals,61,37,60.7,61.0,316,285,5.2,4.4,285.0,3,4.9,0,0.0,23,1,0,3,31,90.6,24,24.0,68,2.8,68.0,0,9,7,29.2,0,0,1,37,316,8.5,316.0,3,23,20,1,0,0,25,64,39,0,0,4,1,0,30,30.0,30,1,13,11,0,0,2,1,0,1,0,0,1,0,2,87,43.5,45,0,2,2,0,0,0,0,0.0,0,0,0,0,1,0,0,3,3,100.0,0,0,0.0,1,1,100.0,1,1,100.0,1,1,100.0,0,0,0.0,43,0,3,3,100.0,12,0.0,7,401,0,57.3,6,1,0,0.0,0,1,0,2,98,85,50,49.0,42.5,0,0,1,0,0.0,0,0.0,0,1,13,13.0,0,0,0,0,0,0,0,0,0,30,20,7,3,8,18,44.4,5,5,100.0,4,45,88,353,4.0,3,0,1,0,0,0,0.0,30,35,-5,0,0,0
56772,2020-09-17,00:20:00 GMT,57,CIN,Cincinnati,Bengals,58,CLE,Cleveland,Browns,1101,FirstEnergy Stadium,58,CLE,Cleveland,Browns,23,16,69.6,23.0,219,219,9.5,9.5,219.0,2,8.7,1,4.4,43,3,1,0,0,110.6,35,35.0,215,6.1,215.0,3,33,14,40.0,3,0,0,16,219,13.7,219.0,2,43,9,3,1,0,51,75,24,3,28,2,0,0,0,0.0,0,9,32,42,0,0,0,0,1,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,1,13,13.0,13,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,5,5,100.0,5,0.0,6,390,1,65.0,3,2,87,43.5,0,0,0,1,43,43,43,43.0,43.0,0,0,0,0,0.0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,23,9,14,0,5,8,62.5,1,2,50.0,8,76,58,434,7.5,5,1,0,0,0,0,1.0,35,30,5,0,0,0
56785,2020-09-20,17:00:00 GMT,68,ATL,Atlanta,Falcons,52,DAL,Dallas,Cowboys,1103,AT&T Stadium,52,DAL,Dallas,Cowboys,49,34,69.4,49.0,450,445,9.2,8.9,445.0,1,2.0,0,0.0,58,7,2,1,5,105.0,31,31.0,125,4.0,125.0,4,11,9,29.0,0,0,2,34,478,14.1,478.0,1,58,21,7,2,0,43,73,30,1,6,1,0,0,0,0.0,0,4,18,14,0,0,4,3,0,1,0,0,1,0,5,106,21.2,31,0,3,0,0,0,1,3,3.0,3,0,0,0,3,0,0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,46,0,4,4,100.0,10,0.0,7,390,0,55.7,3,3,62,20.7,0,1,1,1,43,43,43,43.0,43.0,0,0,0,0,0.0,0,0.0,1,0,0,0.0,1,0,0,0,1,0,0,0,0,33,20,9,4,7,13,53.8,0,2,0.0,7,75,81,570,7.0,5,1,0,0,0,0,1.0,40,39,1,0,0,0
56779,2020-09-20,17:00:00 GMT,72,DEN,Denver,Broncos,59,PIT,Pittsburgh,Steelers,1139,Heinz Field,72,DEN,Denver,Broncos,39,19,48.7,39.0,276,215,7.1,4.7,215.0,2,5.1,1,2.6,45,5,1,7,61,78.6,26,26.0,104,4.0,104.0,0,17,5,19.2,0,0,1,19,276,14.5,276.0,2,45,12,5,1,0,45,54,9,1,10,4,1,0,37,37.0,40,6,22,49,0,0,2,1,1,1,1,8,2,0,3,56,18.7,22,0,1,0,0,0,2,15,7.5,9,0,0,0,2,0,0,2,3,66.7,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,0,1,0.0,49,0,1,1,100.0,7,0.0,6,372,0,62.0,3,3,88,29.3,0,0,0,4,169,151,55,42.2,37.8,0,2,0,2,50.0,0,0.0,0,2,18,9.0,1,1,1,1,0,0,0,0,0,23,12,5,6,5,15,33.3,0,2,0.0,4,30,72,319,4.4,2,0,1,0,0,0,0.0,21,26,-5,0,0,0
