#Date/Time of Update: 2023-11-23 18:47:38 GMT,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveTD,#FirstDownsTotal,#DefensiveTwoPt,#DefensiveXP,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
,56863,2020-10-29,00:20:00 GMT,68,ATL,Atlanta,Falcons,69,CAR,Carolina,Panthers,1096,Bank of America Stadium,68,ATL,Atlanta,Falcons,30,21,70.0,30.0,281,9.4,270,8.4,270.0,0,0.0,1,3.3,28,5,0,2,11,85.6,36,36.0,131,3.6,131.0,2,14,10,27.8,0,0,0,21,281,13.4,281.0,0,28,14,5,0,0,32,45,13,3,22,2,1,0,3,3.0,3,4,19,35,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,4,4,100.0,0,0,0.0,2,2,100.0,2,2,100.0,0,0,0.0,0,0,0.0,37,0,1,2,50.0,13,0.0,6,386,0,64.3,4,2,46,23.0,0,0,0,1,39,39,39,39.0,39.0,0,0,0,1,100.0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,28,0,0,14,10,4,3,9,33.3,0,0,0.0,6,63,68,401,5.9,2,1,0,0,0,0,1.000,25,17,8,0,0,0
,56860,2020-11-01,18:00:00 GMT,59,PIT,Pittsburgh,Steelers,56,BAL,Baltimore,Ravens,1091,M&T Bank Stadium,56,BAL,Baltimore,Ravens,28,13,46.4,28.0,208,7.4,192,6.0,192.0,2,7.1,2,7.1,39,4,0,4,16,65.8,47,47.0,265,5.6,265.0,1,28,12,25.5,3,0,2,13,208,16.0,208.0,2,39,11,4,0,0,34,48,14,2,9,2,0,0,0,0.0,0,3,19,18,0,0,4,2,2,1,1,0,2,0,1,20,20.0,20,0,1,0,0,0,1,15,15.0,15,0,0,0,3,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,51,0,3,3,100.0,6,0.0,4,262,0,65.5,2,2,49,24.5,0,0,0,3,119,114,44,39.7,38.0,0,0,0,2,66.7,0,0.0,2,1,5,5.0,0,0,0,0,0,0,0,25,0,0,11,13,1,8,15,53.3,1,2,50.0,9,110,79,457,5.8,3,0,1,0,0,0,0.000,24,28,-4,0,0,0
,56874,2020-11-01,18:00:00 GMT,50,NE,New England,Patriots,48,BUF,Buffalo,Bills,1296,Bills Stadium,48,BUF,Buffalo,Bills,18,11,61.1,18.0,154,8.6,149,7.8,149.0,0,0.0,1,5.6,41,3,1,1,5,65.5,38,38.0,190,5.0,190.0,3,21,14,36.8,1,0,0,11,154,14.0,154.0,0,41,7,3,1,0,51,57,6,2,13,3,0,0,0,0.0,0,2,14,17,0,0,0,0,1,0,1,0,1,0,3,50,16.7,28,0,2,0,0,0,0,0,0.0,0,0,0,0,1,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,28,0,3,3,100.0,6,0.0,5,304,0,60.8,2,3,53,17.7,0,0,0,3,122,107,46,40.7,35.7,0,1,0,0,0.0,0,0.0,1,1,15,15.0,0,0,0,0,0,0,0,22,0,0,7,14,1,5,11,45.4,0,0,0.0,5,30,57,339,6.0,3,1,0,0,0,0,1.000,24,21,3,0,0,0
,56863,2020-10-29,00:20:00 GMT,68,ATL,Atlanta,Falcons,69,CAR,Carolina,Panthers,1096,Bank of America Stadium,69,CAR,Carolina,Panthers,27,16,59.3,27.0,179,6.6,157,5.2,157.0,1,3.7,1,3.7,42,4,1,3,22,76.0,22,22.0,147,6.7,147.0,1,28,6,27.3,1,0,0,16,169,10.6,169.0,1,42,9,4,1,0,42,68,26,2,11,2,1,0,0,0.0,0,6,17,21,0,0,0,0,0,0,0,0,0,0,2,46,23.0,26,0,2,0,0,0,0,0,0.0,0,0,0,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,39,0,2,2,100.0,5,0.0,4,260,0,65.0,4,0,0,0.0,0,0,0,2,78,78,45,39.0,39.0,0,1,0,2,100.0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,18,0,0,9,6,3,2,10,20.0,1,3,33.3,6,30,52,304,5.8,2,0,1,0,0,0,0.000,17,25,-8,0,0,0
,56866,2020-11-01,21:25:00 GMT,70,NO,New Orleans,Saints,60,CHI,Chicago,Bears,1098,Soldier Field,60,CHI,Chicago,Bears,41,28,68.3,41.0,272,6.6,233,5.1,233.0,2,4.9,1,2.4,50,3,1,5,39,92.7,23,23.0,96,4.2,96.0,0,38,5,21.7,1,0,0,28,272,9.7,272.0,2,50,12,3,1,0,54,75,21,1,8,3,0,0,0,0.0,0,4,18,21,0,0,0,0,3,0,0,0,0,0,4,61,15.2,32,0,1,0,0,0,3,17,5.7,12,0,0,0,0,0,0,3,3,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,1,1,100.0,51,0,2,2,100.0,11,0.0,7,402,0,57.4,2,5,101,20.2,0,0,0,4,200,133,55,50.0,33.2,0,0,1,1,25.0,0,0.0,0,3,67,22.3,0,0,0,0,0,0,0,18,0,0,12,5,1,5,15,33.3,2,3,66.7,7,53,69,329,4.8,2,0,1,0,0,0,0.000,23,26,-3,0,0,0
,56873,2020-11-01,18:00:00 GMT,67,TEN,Tennessee,Titans,57,CIN,Cincinnati,Bengals,1099,Paul Brown Stadium,57,CIN,Cincinnati,Bengals,37,26,70.3,37.0,249,6.7,249,6.7,249.0,2,5.4,0,0.0,24,2,0,0,0,106.7,32,32.0,118,3.7,118.0,2,16,7,21.9,0,0,0,26,249,9.6,249.0,2,24,16,2,0,0,39,56,17,1,10,2,1,0,0,0.0,0,7,16,10,0,0,1,0,0,1,0,0,1,0,4,97,24.2,49,0,2,1,0,0,0,0,0.0,0,0,0,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,33,0,4,4,100.0,7,0.0,6,369,0,61.5,4,2,30,15.0,0,0,0,3,130,127,47,43.3,42.3,0,1,1,2,66.7,0,0.0,0,1,3,3.0,0,0,0,0,0,0,0,27,0,0,16,7,4,10,15,66.7,1,1,100.0,7,45,69,367,5.3,4,1,0,0,0,0,1.000,31,20,11,0,0,0
,56872,2020-11-01,18:00:00 GMT,74,LV,Las Vegas,Raiders,58,CLE,Cleveland,Browns,1101,FirstEnergy Stadium,58,CLE,Cleveland,Browns,25,12,48.0,25.0,122,4.9,122,4.9,122.0,0,0.0,0,0.0,25,1,0,0,0,62.4,22,22.0,101,4.6,101.0,0,18,8,36.4,0,0,0,12,127,10.6,127.0,0,25,5,1,0,0,46,82,36,2,11,1,0,0,0,0.0,0,2,16,14,0,0,1,1,1,0,0,0,0,0,1,33,33.0,33,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,3,66.7,0,0,0.0,0,0,0.0,1,2,50.0,1,1,100.0,0,0,0.0,41,0,0,0,0.0,6,0.0,3,171,0,57.0,1,2,33,16.5,0,0,0,2,109,96,59,54.5,48.0,0,0,0,0,0.0,1,50.0,0,1,13,13.0,0,0,0,0,0,0,0,14,0,0,5,8,1,3,10,30.0,2,2,100.0,7,59,47,223,4.7,0,0,1,0,0,0,0.000,6,16,-10,0,0,0
,56864,2020-11-01,01:20:00 GMT,52,DAL,Dallas,Cowboys,54,PHI,Philadelphia,Eagles,1138,Lincoln Financial Field,52,DAL,Dallas,Cowboys,40,21,52.5,40.0,180,4.5,132,3.0,132.0,0,0.0,0,0.0,15,0,0,4,48,64.6,35,35.0,133,3.8,133.0,0,19,11,31.4,0,0,0,21,180,8.6,180.0,0,15,10,0,0,0,39,54,15,4,25,6,2,0,33,16.5,33,6,21,34,0,0,3,2,3,0,2,-11,2,0,3,49,16.3,20,0,1,0,0,0,1,4,4.0,4,0,0,0,0,0,0,3,4,75.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,1,2,50.0,59,0,0,0,0.0,9,0.0,5,285,0,57.0,3,2,20,10.0,0,1,0,3,117,86,44,39.0,28.7,0,1,0,0,0.0,0,0.0,0,2,31,15.5,0,0,0,0,0,0,0,21,0,0,10,10,1,4,16,25.0,2,4,50.0,7,68,79,265,3.4,0,0,1,0,0,0,0.000,9,23,-14,0,0,0
,56907,2020-11-01,21:05:00 GMT,75,LAC,Los Angeles,Chargers,72,DEN,Denver,Broncos,1289,Empower Field at Mile High,72,DEN,Denver,Broncos,41,26,63.4,41.0,248,6.0,243,5.6,243.0,3,7.3,1,2.4,43,2,2,2,5,94.4,16,16.0,108,6.8,108.0,1,55,3,18.8,1,1,0,26,248,9.5,248.0,3,43,11,2,2,0,60,84,24,2,3,3,2,0,46,23.0,46,5,22,27,0,0,0,0,0,0,0,0,0,0,1,23,23.0,23,0,1,0,0,0,1,8,8.0,8,0,0,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,35,0,4,4,100.0,7,0.0,5,324,0,64.8,4,1,26,26.0,0,0,0,6,325,287,69,54.2,47.8,0,1,0,1,16.7,2,33.3,0,3,38,12.7,0,0,0,0,0,0,0,17,0,0,11,3,3,5,13,38.5,0,0,0.0,8,70,59,351,6.0,4,1,0,0,0,0,1.000,31,30,1,0,0,0
,56871,2020-11-01,18:00:00 GMT,65,IND,Indianapolis,Colts,61,DET,Detroit,Lions,1106,Ford Field,61,DET,Detroit,Lions,42,24,57.1,42.0,336,8.0,297,6.3,297.0,3,7.1,1,2.4,73,4,1,5,39,96.9,13,13.0,29,2.2,29.0,0,11,2,15.4,0,0,0,24,336,14.0,336.0,3,73,17,4,1,0,51,77,26,2,15,4,0,0,0,0.0,0,1,23,28,0,0,3,1,1,2,0,0,2,0,2,62,31.0,33,0,2,0,0,0,1,2,2.0,2,0,0,0,3,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,3,3,100.0,3,0.0,4,260,0,65.0,0,4,101,25.2,0,0,0,5,262,250,59,52.4,50.0,0,0,2,0,0.0,1,20.0,1,1,12,12.0,0,0,0,0,0,0,0,20,0,0,17,2,1,7,14,50.0,0,1,0.0,4,76,60,326,5.4,3,0,1,0,0,0,0.000,21,41,-20,0,0,0
,56870,2020-11-01,18:00:00 GMT,63,MIN,Minnesota,Vikings,62,GB,Green Bay,Packers,1108,Lambeau Field,62,GB,Green Bay,Packers,41,27,65.8,41.0,291,7.1,291,6.9,291.0,3,7.3,0,0.0,45,3,1,1,0,110.9,24,24.0,109,4.5,109.0,0,10,5,20.8,0,0,0,27,291,10.8,291.0,3,45,17,3,1,0,39,52,13,1,9,3,0,0,0,0.0,0,0,9,12,0,0,1,1,0,0,0,0,0,0,2,53,26.5,27,0,2,0,0,0,1,9,9.0,9,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2,2,100.0,2,0.0,4,229,0,57.2,0,4,66,16.5,0,0,0,1,38,38,38,38.0,38.0,0,1,0,1,100.0,0,0.0,0,0,0,0.0,1,1,0,0,1,1,0,24,0,0,17,5,2,5,11,45.4,3,5,60.0,9,85,66,400,6.1,3,0,1,0,0,0,0.000,22,28,-6,74,52,19
,56871,2020-11-01,18:00:00 GMT,65,IND,Indianapolis,Colts,61,DET,Detroit,Lions,1106,Ford Field,65,IND,Indianapolis,Colts,34,23,67.6,34.0,262,7.7,247,6.9,247.0,3,8.8,0,0.0,29,5,0,2,15,120.0,39,39.0,119,3.0,119.0,2,16,9,23.1,0,0,0,23,262,11.4,262.0,3,29,15,5,0,0,38,47,9,5,27,4,1,1,29,29.0,29,7,29,71,0,0,1,0,2,0,1,0,1,0,4,101,25.2,31,0,3,0,0,0,1,12,12.0,12,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,3,5,60.0,3,0.0,7,460,0,65.7,5,2,62,31.0,0,0,0,5,184,182,51,36.8,36.4,1,0,0,3,60.0,0,0.0,3,1,2,2.0,1,1,0,0,1,1,0,26,0,0,15,9,2,7,14,50.0,1,1,100.0,3,19,75,366,4.9,5,1,0,0,0,0,1.000,41,21,20,0,0,0
,56869,2020-11-01,18:00:00 GMT,51,NYJ,New York,Jets,73,KC,Kansas City,Chiefs,1116,Arrowhead Stadium,73,KC,Kansas City,Chiefs,47,35,74.5,47.0,446,9.5,446,9.5,446.0,5,10.6,0,0.0,41,6,1,0,0,139.1,20,20.0,50,2.5,50.0,0,11,3,15.0,0,0,1,35,446,12.7,446.0,5,41,21,6,1,0,36,52,16,1,5,2,0,0,0,0.0,0,4,18,13,1,0,2,0,1,1,1,-4,2,0,3,78,26.0,29,0,3,0,0,0,2,14,7.0,36,0,1,0,2,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,5,5,100.0,5,0.0,6,404,1,67.3,4,1,17,17.0,0,0,0,3,122,122,44,40.7,40.7,0,0,0,1,33.3,1,33.3,2,0,0,0.0,0,0,0,0,0,0,0,25,0,0,21,3,1,7,13,53.8,1,3,33.3,7,61,67,496,7.4,5,1,0,0,0,0,1.000,35,9,26,0,0,0
,56872,2020-11-01,18:00:00 GMT,74,LV,Las Vegas,Raiders,58,CLE,Cleveland,Browns,1101,FirstEnergy Stadium,74,LV,Las Vegas,Raiders,24,15,62.5,24.0,111,4.6,100,3.8,100.0,1,4.2,0,0.0,17,0,0,2,11,87.3,45,45.0,209,4.6,209.0,0,21,15,33.3,0,0,1,15,112,7.5,112.0,1,17,7,0,0,0,32,40,8,0,0,1,0,0,0,0.0,0,3,17,2,0,0,1,0,1,1,1,0,2,0,2,33,16.5,22,0,1,0,0,0,1,13,13.0,13,0,0,0,0,0,0,3,4,75.0,0,0,0.0,2,2,100.0,1,1,100.0,0,1,0.0,0,0,0.0,33,0,1,1,100.0,10,0.0,4,253,0,63.2,3,1,33,33.0,0,0,0,1,56,56,56,56.0,56.0,0,1,0,1,100.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,24,0,0,7,15,2,8,14,57.1,2,2,100.0,5,25,71,309,4.4,1,1,0,0,0,0,1.000,16,6,10,0,0,0
,56907,2020-11-01,21:05:00 GMT,75,LAC,Los Angeles,Chargers,72,DEN,Denver,Broncos,1289,Empower Field at Mile High,75,LAC,Los Angeles,Chargers,44,29,65.9,44.0,278,6.3,275,6.0,275.0,3,6.8,2,4.6,36,4,0,2,3,87.1,38,38.0,210,5.5,210.0,0,26,10,26.3,3,0,0,29,278,9.6,278.0,3,36,15,4,0,0,34,49,15,2,5,2,1,0,23,23.0,23,9,21,11,0,0,0,0,0,0,0,0,0,0,1,26,26.0,26,0,1,0,0,0,3,38,12.7,30,0,1,0,0,0,0,3,3,100.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,1,1,100.0,52,0,3,3,100.0,12,0.0,7,459,0,65.6,6,1,23,23.0,0,0,0,3,117,109,43,39.0,36.3,0,0,0,1,33.3,1,33.3,1,1,8,8.0,0,0,0,0,0,0,0,28,0,0,15,10,3,7,16,43.8,0,1,0.0,6,67,84,485,5.8,3,0,1,0,0,0,0.000,30,31,-1,0,0,0
,56868,2020-11-01,18:00:00 GMT,77,LA,Los Angeles,Rams,49,MIA,Miami,Dolphins,1126,Hard Rock Stadium,77,LA,Los Angeles,Rams,61,35,57.4,61.0,355,5.8,340,5.4,340.0,1,1.6,2,3.3,26,2,0,2,15,66.0,29,29.0,131,4.5,131.0,1,18,11,37.9,0,0,0,35,355,10.1,355.0,1,26,19,2,0,0,27,47,20,1,2,2,0,0,0,0.0,0,4,18,12,0,0,3,2,2,1,2,0,3,0,2,29,14.5,25,0,1,0,0,0,3,7,2.3,12,0,0,0,3,0,0,1,2,50.0,0,0,0.0,1,1,100.0,0,0,0.0,0,1,0.0,0,0,0.0,23,0,2,2,100.0,5,0.0,4,260,0,65.0,3,0,0,0.0,0,0,0,6,284,196,62,47.3,32.7,0,1,1,2,33.3,1,16.7,2,1,88,88.0,0,0,0,0,0,0,0,31,0,0,19,11,1,7,17,41.2,0,1,0.0,5,45,92,471,5.1,2,0,1,0,0,0,0.000,17,28,-11,0,0,0
,56868,2020-11-01,18:00:00 GMT,77,LA,Los Angeles,Rams,49,MIA,Miami,Dolphins,1126,Hard Rock Stadium,49,MIA,Miami,Dolphins,22,12,54.6,22.0,93,4.2,90,3.9,90.0,1,4.6,0,0.0,15,0,0,1,3,80.3,25,25.0,55,2.2,55.0,1,6,3,12.0,0,0,1,12,93,7.8,93.0,1,15,5,0,0,0,45,86,41,2,16,1,2,0,12,6.0,8,16,31,27,0,0,2,2,2,0,2,106,2,1,1,45,45.0,0,0,0,0,0,0,1,88,88.0,88,1,1,1,2,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4,4,100.0,4,0.0,5,303,1,60.6,2,2,29,14.5,0,0,0,9,385,371,63,42.8,41.2,0,0,3,5,55.6,0,0.0,3,2,14,7.0,0,0,0,0,0,0,0,8,0,0,5,3,0,3,12,25.0,0,0,0.0,3,30,48,145,3.0,3,1,0,0,0,0,1.000,28,17,11,0,0,0
,56870,2020-11-01,18:00:00 GMT,63,MIN,Minnesota,Vikings,62,GB,Green Bay,Packers,1108,Lambeau Field,63,MIN,Minnesota,Vikings,14,11,78.6,14.0,160,11.4,151,10.1,151.0,1,7.1,0,0.0,50,1,1,1,9,138.1,34,34.0,173,5.1,173.0,3,37,11,32.4,2,0,0,11,160,14.6,160.0,1,50,6,1,1,0,46,67,21,1,25,0,0,0,0,0.0,0,3,15,4,0,0,0,0,1,0,1,4,1,0,4,66,16.5,27,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4,4,100.0,4,0.0,5,321,0,64.2,3,2,53,26.5,0,0,0,3,113,104,43,37.7,34.7,0,0,2,0,0.0,0,0.0,0,1,9,9.0,0,0,0,0,0,0,0,20,0,0,6,11,3,4,8,50.0,1,1,100.0,7,36,49,324,6.6,4,1,0,0,0,0,1.000,28,22,6,52,74,19
,56874,2020-11-01,18:00:00 GMT,50,NE,New England,Patriots,48,BUF,Buffalo,Bills,1296,Bills Stadium,50,NE,New England,Patriots,25,15,60.0,25.0,174,7.0,161,6.0,161.0,0,0.0,0,0.0,28,2,0,2,13,81.1,34,34.0,188,5.5,188.0,2,22,11,32.4,1,0,1,15,174,11.6,174.0,0,28,8,2,0,0,38,60,22,1,5,2,1,0,25,25.0,25,5,16,23,0,0,1,1,0,0,0,0,0,0,3,53,17.7,21,0,1,0,0,0,1,15,15.0,15,0,0,0,1,0,0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,43,0,1,1,100.0,7,0.0,5,274,0,54.8,2,3,50,16.7,0,1,0,4,173,173,64,43.2,43.2,0,1,1,1,25.0,1,25.0,1,0,0,0.0,1,1,1,1,0,0,0,20,0,0,8,11,1,5,10,50.0,0,0,0.0,5,35,61,349,5.7,2,0,1,0,0,0,0.000,21,24,-3,0,0,0
,56866,2020-11-01,21:25:00 GMT,70,NO,New Orleans,Saints,60,CHI,Chicago,Bears,1098,Soldier Field,70,NO,New Orleans,Saints,41,31,75.6,41.0,280,6.8,272,6.5,272.0,2,4.9,0,0.0,47,2,1,1,8,109.8,30,30.0,122,4.1,122.0,0,20,10,33.3,2,0,1,31,280,9.0,280.0,2,47,11,2,1,0,47,71,24,5,39,4,1,0,0,0.0,0,3,24,50,0,0,3,0,0,3,0,0,3,0,5,94,18.8,31,0,2,0,0,0,3,67,22.3,42,0,1,1,0,0,0,4,5,80.0,0,0,0.0,1,2,50.0,3,3,100.0,0,0,0.0,0,0,0.0,39,0,2,2,100.0,14,0.0,6,359,0,59.8,2,4,61,15.2,0,0,0,4,153,136,48,38.2,34.0,0,1,0,1,25.0,0,0.0,0,3,17,5.7,0,0,0,0,0,0,0,23,0,0,11,10,2,2,13,15.4,2,3,66.7,5,45,72,394,5.5,2,1,0,0,0,0,1.000,26,23,3,0,0,0
