#Date/Time of Update: 2023-11-23 18:57:04 GMT,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassNetYards,#PassAvg,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveTwoPt,#FirstDownsTotal,#DefensiveXP,#DefensiveTD,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
,65069,2021-11-28,18:00:00 GMT,68,ATL,Atlanta,Falcons,66,JAX,Jacksonville,Jaguars,1266,TIAA Bank Field,68,ATL,Atlanta,Falcons,29,19,65.5,29.0,190,183,6.6,6.1,183.0,1,3.4,1,3.4,20,1,0,1,7,81.1,29,29.0,149,5.1,149.0,2,27,6,20.7,1,0,0,19,190,10.0,190.0,1,20,12,1,0,0,40,40,0,1,12,1,1,0,0,0.0,0,5,25,19,0,0,0,0,3,0,1,0,1,0,4,91,22.8,26,0,3,0,0,0,1,3,3.0,3,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,3,3,100.0,3,0.0,4,258,0,64.5,1,3,74,24.7,0,0,0,5,224,195,55,44.8,39.0,0,0,0,3,60.0,1,20.0,2,2,29,14.5,0,0,0,0,0,0,0,21,0,0,12,6,3,5,12,41.7,0,0,0.0,5,26,59,332,5.6,3,1,0,0,0,0,1.000,21,14,7,60,73,22
,65074,2021-11-28,01:20:00 GMT,58,CLE,Cleveland,Browns,56,BAL,Baltimore,Ravens,1091,M&T Bank Stadium,56,BAL,Baltimore,Ravens,32,20,62.5,32.0,165,155,5.2,4.6,155.0,1,3.1,4,12.5,39,1,0,2,10,46.5,43,43.0,148,3.4,148.0,0,13,12,27.9,0,0,0,20,165,8.2,165.0,1,39,6,1,0,0,31,31,0,3,21,0,0,0,0,0.0,0,7,28,30,0,0,0,0,1,0,2,0,2,0,0,0,0.0,0,0,0,0,0,0,3,36,12.0,22,0,1,0,1,0,0,3,3,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,1,1,100.0,52,0,1,1,100.0,10,0.0,5,325,0,65.0,4,1,15,15.0,0,0,0,3,136,139,53,45.3,46.3,0,1,0,1,33.3,1,33.3,0,1,-3,-3.0,0,0,0,0,0,0,0,22,0,0,6,12,4,7,15,46.7,1,1,100.0,5,54,77,303,3.9,1,1,0,0,0,0,1.000,16,10,6,81,60,24
,65061,2021-11-25,01:20:00 GMT,48,BUF,Buffalo,Bills,70,NO,New Orleans,Saints,1398,Caesars Superdome,48,BUF,Buffalo,Bills,28,23,82.1,28.0,260,248,9.3,8.3,248.0,4,14.3,2,7.1,28,5,0,2,12,115.2,32,32.0,113,3.5,113.0,0,15,9,28.1,0,0,0,23,260,11.3,260.0,4,28,11,5,0,0,36,62,26,2,17,6,1,0,18,18.0,18,4,25,33,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,5,49,9.8,18,0,0,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,34,0,4,4,100.0,7,0.0,6,382,0,63.7,2,4,61,15.2,0,0,0,3,127,115,48,42.3,38.3,0,0,1,2,66.7,0,0.0,1,1,12,12.0,0,0,0,0,0,0,0,21,0,0,11,9,1,8,13,61.5,1,1,100.0,4,35,62,361,5.8,4,1,0,0,0,0,1.000,31,6,25,66,57,22
,65067,2021-11-28,18:00:00 GMT,69,CAR,Carolina,Panthers,49,MIA,Miami,Dolphins,1126,Hard Rock Stadium,69,CAR,Carolina,Panthers,31,10,32.3,31.0,179,134,5.8,3.7,134.0,0,0.0,3,9.7,64,2,1,5,45,13.4,18,18.0,64,3.6,64.0,1,15,5,27.8,0,0,0,10,179,17.9,179.0,0,64,5,2,1,0,47,47,0,2,26,2,0,0,0,0.0,0,2,18,31,0,0,0,0,1,0,1,28,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,41,0,1,1,100.0,4,0.0,2,130,0,65.0,2,0,0,0.0,0,0,0,6,261,247,58,43.5,41.2,1,0,0,0,0.0,1,16.7,1,2,14,7.0,0,0,0,0,0,0,0,10,0,0,5,5,0,4,14,28.6,2,3,66.7,7,61,54,198,3.7,1,0,1,0,0,0,0.000,10,33,-23,55,74,28
,65063,2021-11-25,17:30:00 GMT,60,CHI,Chicago,Bears,61,DET,Detroit,Lions,1106,Ford Field,60,CHI,Chicago,Bears,39,24,61.5,39.0,317,310,8.1,7.8,310.0,1,2.6,1,2.6,52,2,1,1,7,85.1,29,29.0,68,2.3,68.0,0,12,3,10.3,0,0,1,24,317,13.2,317.0,1,52,18,2,1,0,28,28,0,1,8,1,0,0,0,0.0,0,1,14,19,0,0,1,0,2,1,1,0,2,0,3,59,19.7,25,0,1,0,0,0,4,39,9.8,22,0,1,0,0,0,0,3,4,75.0,0,0,0.0,2,2,100.0,0,0,0.0,1,1,100.0,0,1,0.0,43,0,1,1,100.0,10,0.0,3,199,0,66.3,0,3,84,28.0,0,0,0,4,180,171,51,45.0,42.8,0,0,1,2,50.0,0,0.0,1,1,9,9.0,0,0,0,0,0,0,0,21,0,0,18,3,0,5,13,38.5,0,0,0.0,5,50,69,378,5.5,1,1,0,0,0,0,1.000,16,14,2,70,49,24
,65070,2021-11-28,18:00:00 GMT,59,PIT,Pittsburgh,Steelers,57,CIN,Cincinnati,Bengals,1099,Paul Brown Stadium,57,CIN,Cincinnati,Bengals,25,20,80.0,25.0,190,172,7.6,6.4,172.0,1,4.0,1,4.0,32,1,0,2,18,95.0,38,38.0,198,5.2,198.0,3,32,13,34.2,2,0,0,20,190,9.5,190.0,1,32,11,1,0,0,36,36,0,3,20,3,2,1,74,37.0,50,6,24,26,0,0,0,0,1,0,1,0,1,0,1,12,12.0,12,0,0,0,0,0,2,17,8.5,17,0,0,0,2,0,0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,51,0,5,5,100.0,11,0.0,8,517,0,64.6,5,3,73,24.3,0,0,0,3,139,136,53,46.3,45.3,0,0,1,1,33.3,0,0.0,0,2,3,1.5,0,0,0,0,0,0,0,25,1,1,11,13,1,5,11,45.4,1,1,100.0,3,18,65,370,5.7,4,1,0,0,0,0,1.000,41,10,31,68,62,28
,65074,2021-11-28,01:20:00 GMT,58,CLE,Cleveland,Browns,56,BAL,Baltimore,Ravens,1091,M&T Bank Stadium,58,CLE,Cleveland,Browns,37,18,48.6,37.0,247,222,6.7,5.6,222.0,1,2.7,0,0.0,41,4,1,3,25,79.4,17,17.0,40,2.4,40.0,0,9,2,11.8,0,0,0,18,247,13.7,247.0,1,41,10,4,1,0,39,41,2,2,10,4,4,0,9,2.2,5,6,23,13,0,0,2,2,0,0,0,0,0,0,1,15,15.0,15,0,0,0,0,0,1,-3,-3.0,-3,0,0,0,0,0,0,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0.0,46,0,1,1,100.0,4,0.0,3,195,0,65.0,3,0,0,0.0,0,0,0,6,261,225,52,43.5,37.5,0,2,0,2,33.3,0,0.0,1,3,36,12.0,0,0,0,0,0,0,0,14,0,0,10,2,2,4,13,30.8,0,1,0.0,5,45,57,262,4.6,1,0,1,0,0,0,0.000,10,16,-6,60,81,24
,65062,2021-11-25,21:30:00 GMT,74,LV,Las Vegas,Raiders,52,DAL,Dallas,Cowboys,1103,AT&T Stadium,52,DAL,Dallas,Cowboys,47,32,68.1,47.0,375,373,8.0,7.8,373.0,2,4.3,0,0.0,51,4,2,1,2,106.2,20,20.0,64,3.2,64.0,1,12,6,30.0,0,0,0,32,375,11.7,375.0,2,51,13,4,2,0,45,76,31,3,7,1,0,0,0,0.0,0,5,26,26,0,0,0,0,1,0,0,0,0,0,3,129,43.0,100,1,1,1,0,0,2,16,8.0,14,0,0,0,2,0,0,2,3,66.7,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,0,1,0.0,45,0,1,2,50.0,7,0.0,7,455,0,65.0,7,0,0,0.0,0,0,0,7,385,348,60,55.0,49.7,0,0,0,2,28.6,0,0.0,4,3,37,12.3,2,1,1,1,1,0,0,23,0,1,13,6,4,3,13,23.1,0,0,0.0,14,166,68,437,6.4,3,0,1,0,0,0,0.000,33,36,-3,74,87,42
,65072,2021-11-28,21:05:00 GMT,75,LAC,Los Angeles,Chargers,72,DEN,Denver,Broncos,1289,Empower Field at Mile High,72,DEN,Denver,Broncos,25,15,60.0,25.0,155,155,6.2,6.0,155.0,1,4.0,1,4.0,42,1,1,1,0,74.6,33,33.0,147,4.4,147.0,2,16,10,30.3,0,0,0,15,155,10.3,155.0,1,42,9,1,1,0,36,38,2,3,18,2,2,1,70,35.0,70,9,22,23,0,0,1,0,0,1,0,2,1,0,1,7,7.0,7,0,0,0,0,0,2,13,6.5,8,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4,4,100.0,4,0.0,5,325,0,65.0,5,0,0,0.0,0,0,0,3,125,125,43,41.7,41.7,0,1,1,2,66.7,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,23,1,1,9,11,3,7,11,63.6,0,0,0.0,5,35,59,302,5.1,3,1,0,0,0,0,1.000,28,13,15,62,71,20
,65063,2021-11-25,17:30:00 GMT,60,CHI,Chicago,Bears,61,DET,Detroit,Lions,1106,Ford Field,61,DET,Detroit,Lions,25,21,84.0,25.0,171,163,6.8,6.3,163.0,2,8.0,0,0.0,39,1,0,1,8,121.8,19,19.0,76,4.0,76.0,0,19,5,26.3,0,0,0,21,171,8.1,171.0,2,39,8,1,0,0,38,38,0,1,7,1,1,0,0,0.0,0,9,28,14,0,0,3,1,0,1,0,0,1,0,3,84,28.0,35,0,3,0,0,0,2,9,4.5,9,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2,2,100.0,2,0.0,3,198,0,66.0,0,3,59,19.7,0,0,0,6,300,261,70,50.0,43.5,0,0,1,0,0.0,1,16.7,0,4,39,9.8,0,0,0,0,0,0,0,14,0,0,8,5,1,4,10,40.0,0,0,0.0,10,67,45,239,5.3,2,0,1,0,0,0,0.000,14,16,-2,49,70,24
