#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveTD,#DefensiveTwoPt,#FirstDownsTotal,#DefensiveXP,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
65086,2021-12-05,18:00:00 GMT,76,ARI,Arizona,Cardinals,60,CHI,Chicago,Bears,1098,Soldier Field,76,ARI,Arizona,Cardinals,15,11,73.3,15.0,123,8.2,120,7.5,120.0,2,13.3,0,0.0,23,2,0,1,3,136.9,35,35.0,137,3.9,137.0,2,21,7,20.0,1,0,1,11,123,11.2,123.0,2,23,6,2,0,0,41,43,2,3,12,5,4,0,121,30.2,77,5,26,15,0,0,2,0,0,2,0,-2,2,0,3,71,23.7,32,0,2,0,0,0,1,0,0.0,18,0,0,0,0,0,0,2,2,100.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,33,0,3,3,100.0,9,0.0,7,454,0,64.9,5,2,49,24.5,0,0,0,2,99,91,58,49.5,45.5,0,0,1,1,50.0,0,0.0,0,1,8,8.0,1,0,1,0,0,0,0,0,14,0,6,7,1,5,11,45.4,1,2,50.0,8,63,51,257,5.0,4,1,0,0,0,0,1.0,33,22,11,53,76,24
65088,2021-12-05,18:00:00 GMT,71,TB,Tampa Bay,Buccaneers,68,ATL,Atlanta,Falcons,1130,Mercedes-Benz Stadium,68,ATL,Atlanta,Falcons,41,30,73.2,41.0,297,7.2,259,5.6,259.0,0,0.0,0,0.0,30,3,0,5,38,93.2,23,23.0,121,5.3,121.0,1,39,5,21.7,1,0,3,30,297,9.9,297.0,0,30,14,4,0,0,31,31,0,0,0,0,1,1,3,3.0,3,4,17,5,0,0,5,1,0,4,0,-3,4,0,1,30,30.0,30,0,1,0,0,0,1,7,7.0,7,0,0,0,1,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,21,0,2,2,100.0,5,0.0,4,260,0,65.0,4,0,0,0.0,0,0,0,5,215,208,53,43.0,41.6,0,1,0,4,80.0,0,0.0,2,2,7,3.5,0,0,0,0,0,0,1,0,21,1,14,5,2,9,17,52.9,0,0,0.0,6,39,69,380,5.5,1,0,1,0,0,0,0.0,17,30,-13,71,70,26
65079,2021-12-05,21:25:00 GMT,56,BAL,Baltimore,Ravens,59,PIT,Pittsburgh,Steelers,1139,Heinz Field,56,BAL,Baltimore,Ravens,37,23,62.2,37.0,253,6.8,219,5.0,219.0,1,2.7,1,2.7,29,2,0,7,34,80.1,25,25.0,107,4.3,107.0,1,18,7,28.0,0,0,0,23,253,11.0,253.0,1,29,12,2,0,0,31,31,0,1,0,4,0,0,0,0.0,0,3,17,4,0,0,1,0,0,0,0,0,0,0,2,61,30.5,35,0,2,0,0,0,2,12,6.0,12,0,0,0,1,0,0,2,2,100.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,35,0,1,1,100.0,7,0.0,5,258,0,51.6,1,4,46,11.5,0,1,0,4,203,170,57,50.8,42.5,0,0,0,1,25.0,0,0.0,0,4,33,8.2,1,0,1,0,0,0,0,0,22,0,12,7,3,8,16,50.0,0,0,0.0,10,55,69,326,4.7,2,0,1,0,0,0,0.0,19,20,-1,74,60,25
65089,2021-12-06,01:15:00 GMT,50,NE,New England,Patriots,48,BUF,Buffalo,Bills,1390,Highmark Stadium,48,BUF,Buffalo,Bills,30,15,50.0,30.0,145,4.8,131,4.1,131.0,1,3.3,0,0.0,26,1,0,2,14,75.0,25,25.0,99,4.0,99.0,0,21,5,20.0,1,0,1,15,145,9.7,145.0,1,26,9,1,0,0,31,31,0,0,0,0,0,0,0,0.0,0,1,13,26,0,0,1,1,0,0,1,-2,1,0,1,27,27.0,27,0,1,0,0,0,1,8,8.0,8,0,0,0,0,0,0,1,2,50.0,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0.0,0,0,0.0,35,0,1,1,100.0,4,0.0,3,195,0,65.0,3,0,0,0.0,0,0,0,5,233,233,59,46.6,46.6,0,0,1,2,40.0,2,40.0,1,0,0,0.0,0,0,0,0,0,0,0,0,16,0,9,5,2,4,13,30.8,0,1,0.0,3,20,57,230,4.0,1,0,1,0,0,0,0.0,10,14,-4,58,51,23
65086,2021-12-05,18:00:00 GMT,76,ARI,Arizona,Cardinals,60,CHI,Chicago,Bears,1098,Soldier Field,60,CHI,Chicago,Bears,41,26,63.4,41.0,229,5.6,217,4.9,217.0,2,4.9,4,9.8,34,2,0,3,12,54.9,27,27.0,112,4.2,112.0,1,24,8,29.6,1,0,2,26,234,9.0,234.0,2,34,14,2,0,0,37,37,0,1,3,2,0,0,0,0.0,0,1,14,24,0,0,2,0,0,2,0,0,2,0,2,49,24.5,27,0,2,0,0,0,1,8,8.0,8,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2,2,100.0,2,0.0,4,197,0,49.2,0,4,71,17.8,0,1,0,2,91,73,53,45.5,36.5,0,0,1,1,50.0,0,0.0,0,1,18,18.0,1,1,1,1,0,0,0,0,26,0,14,8,4,6,16,37.5,4,4,100.0,6,45,71,329,4.6,3,0,1,0,0,0,0.0,22,33,-11,76,53,24
65087,2021-12-05,18:00:00 GMT,75,LAC,Los Angeles,Chargers,57,CIN,Cincinnati,Bengals,1099,Paul Brown Stadium,57,CIN,Cincinnati,Bengals,40,24,60.0,40.0,300,7.5,260,5.6,260.0,1,2.5,2,5.0,32,5,0,6,40,70.8,25,25.0,96,3.8,96.0,2,17,6,24.0,0,0,1,24,300,12.5,300.0,1,32,14,5,0,0,32,34,2,4,33,2,1,0,0,0.0,0,5,20,43,0,0,2,2,2,0,2,46,2,0,3,52,17.3,25,0,1,0,0,0,1,5,5.0,5,0,0,0,2,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,48,0,1,2,50.0,4,0.0,5,331,0,66.2,2,3,99,33.0,0,0,0,4,180,162,50,45.0,40.5,0,0,0,1,25.0,0,0.0,2,2,18,9.0,1,0,0,0,1,0,0,0,21,0,14,6,1,6,12,50.0,0,1,0.0,7,63,71,356,5.0,3,0,1,0,0,0,0.0,22,41,-19,76,64,30
65076,2021-12-02,01:20:00 GMT,52,DAL,Dallas,Cowboys,70,NO,New Orleans,Saints,1398,Caesars Superdome,52,DAL,Dallas,Cowboys,40,26,65.0,40.0,238,6.0,231,5.6,231.0,1,2.5,1,2.5,41,4,1,1,7,79.0,24,24.0,146,6.1,146.0,1,58,5,20.8,1,1,0,26,238,9.2,238.0,1,41,10,4,1,0,34,34,0,2,12,1,4,1,37,9.2,29,11,30,22,0,0,0,0,1,0,0,0,0,0,1,22,22.0,22,0,1,0,0,0,4,44,11.0,16,0,0,0,0,0,0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,55,0,3,3,100.0,9,0.0,5,325,0,65.0,5,0,0,0.0,0,0,0,7,337,300,60,48.1,42.9,0,1,0,2,28.6,0,0.0,2,4,37,9.2,0,0,0,0,0,0,1,0,17,1,10,5,2,2,13,15.4,0,1,0.0,5,35,65,377,5.8,2,1,0,0,0,0,1.0,27,17,10,70,70,31
65085,2021-12-05,01:20:00 GMT,72,DEN,Denver,Broncos,73,KC,Kansas City,Chiefs,1365,GEHA Field at Arrowhead Stadium,72,DEN,Denver,Broncos,40,22,55.0,40.0,257,6.4,250,6.1,250.0,1,2.5,2,5.0,36,2,0,1,7,62.2,31,31.0,154,5.0,154.0,0,16,12,38.7,0,0,1,22,257,11.7,257.0,1,36,10,2,0,0,27,27,0,1,6,2,1,0,0,0.0,0,4,20,19,0,0,2,1,0,1,0,0,1,0,2,44,22.0,26,0,1,0,0,0,3,6,2.0,14,0,0,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,42,0,0,0,0.0,3,0.0,3,146,0,48.7,2,1,0,0.0,0,1,0,3,160,147,56,53.3,49.0,0,0,0,0,0.0,0,0.0,1,2,13,6.5,1,0,1,0,0,0,0,0,22,0,10,12,0,4,14,28.6,3,6,50.0,5,37,72,404,5.6,1,0,1,0,0,0,0.0,9,22,-13,77,57,22
65082,2021-12-05,18:00:00 GMT,63,MIN,Minnesota,Vikings,61,DET,Detroit,Lions,1106,Ford Field,61,DET,Detroit,Lions,41,25,61.0,41.0,296,7.2,272,6.2,272.0,3,7.3,1,2.4,28,5,0,3,24,97.2,27,27.0,100,3.7,100.0,0,11,7,25.9,0,0,1,25,296,11.8,296.0,3,28,14,5,0,0,47,47,0,3,16,1,0,0,0,0.0,0,6,22,28,0,0,2,1,1,1,1,6,2,0,1,30,30.0,30,0,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,3,3,100.0,0,0,0.0,0,0,0.0,1,1,100.0,2,2,100.0,0,0,0.0,49,0,2,2,100.0,11,0.0,6,385,0,64.2,4,2,65,32.5,0,0,0,3,166,143,62,55.3,47.7,0,0,0,0,0.0,0,0.0,0,3,23,7.7,0,0,0,0,0,0,0,0,23,0,14,7,2,2,11,18.2,1,3,33.3,3,11,71,372,5.2,3,1,0,0,0,0,1.0,29,27,2,72,76,27
65081,2021-12-05,18:00:00 GMT,65,IND,Indianapolis,Colts,64,HOU,Houston,Texans,1110,NRG Stadium,64,HOU,Houston,Texans,27,11,40.7,27.0,94,3.5,57,1.8,57.0,0,0.0,1,3.7,23,0,0,4,37,35.1,19,19.0,84,4.4,84.0,0,16,3,15.8,0,0,0,11,94,8.6,94.0,0,23,6,0,0,0,55,84,29,1,7,0,0,0,0,0.0,0,2,19,15,0,0,1,1,1,0,1,0,1,0,2,48,24.0,26,0,2,0,0,0,1,4,4.0,4,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1,65,0,65.0,1,0,0,0.0,0,0,0,6,302,265,60,50.3,44.2,0,0,0,1,16.7,0,0.0,1,5,37,7.4,0,0,0,0,0,0,0,0,9,0,6,3,0,3,12,25.0,0,3,0.0,4,25,50,141,2.8,0,0,1,0,0,0,0.0,0,31,-31,52,72,22
