#Date/Time of Update: 2023-11-23 18:54:05 GMT,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassNetYards,#PassAvg,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveXP,#DefensiveTD,#DefensiveTwoPt,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
,64961,2021-10-10,20:25:00 GMT,78,SF,San Francisco,49ers,76,ARI,Arizona,Cardinals,1269,State Farm Stadium,76,ARI,Arizona,Cardinals,31,22,71.0,31.0,239,210,7.7,6.4,210.0,1,3.2,0,0.0,33,3,0,2,29,104.1,27,27.0,94,3.5,94.0,1,26,8,29.6,1,0,3,22,239,10.9,239.0,1,33,11,3,0,0,36,38,2,2,6,1,1,0,17,17.0,17,6,21,13,0,0,4,1,0,3,0,3,3,0,0,0,0.0,0,0,0,0,0,0,1,12,12.0,12,0,0,0,1,0,0,1,2,50.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,1,0.0,21,0,2,2,100.0,5,0.0,4,260,0,65.0,4,0,0,0.0,0,0,0,4,205,199,56,51.2,49.8,0,0,1,1,25.0,1,25.0,0,2,6,3.0,0,0,0,0,0,0,0,0,0,20,11,8,1,3,10,30.0,0,1,0.0,6,62,60,304,5.1,2,1,0,0,0,0,1.000,17,10,7,61,65,19
,64973,2021-10-10,13:30:00 GMT,51,NYJ,New York,Jets,68,ATL,Atlanta,Falcons,1366,Tottenham Hotspur Stadium,68,ATL,Atlanta,Falcons,46,33,71.7,46.0,342,342,7.4,7.4,342.0,2,4.4,0,0.0,39,3,0,0,0,107.3,29,29.0,108,3.7,108.0,1,17,5,17.2,0,0,1,33,343,10.4,343.0,2,39,19,3,0,0,35,44,9,2,26,1,1,0,11,11.0,11,4,18,35,0,0,3,2,1,0,0,0,0,0,2,45,22.5,29,0,1,0,0,0,2,19,9.5,15,0,0,0,1,0,0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,52,0,3,3,100.0,9,0.0,5,318,0,63.6,3,2,92,46.0,0,0,0,2,56,56,32,28.0,28.0,0,1,0,1,50.0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,28,19,5,4,9,14,64.3,1,1,100.0,4,66,75,450,6.0,3,1,0,0,0,0,1.000,27,20,7,78,56,24
,64974,2021-10-11,00:15:00 GMT,65,IND,Indianapolis,Colts,56,BAL,Baltimore,Ravens,1091,M&T Bank Stadium,56,BAL,Baltimore,Ravens,43,37,86.0,43.0,442,437,10.3,9.7,437.0,4,9.3,0,0.0,43,5,1,2,5,140.5,25,25.0,86,3.4,86.0,0,13,7,28.0,0,0,1,37,442,12.0,442.0,4,43,22,5,1,0,41,74,33,2,13,4,0,0,0,0.0,0,4,19,23,1,0,1,1,1,0,1,0,1,0,5,111,22.2,27,0,5,0,0,0,1,0,0.0,7,0,0,0,1,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,23,0,0,0,0.0,3,0.0,5,324,0,64.8,3,2,46,23.0,0,0,0,4,198,168,53,49.5,42.0,0,0,0,2,50.0,0,0.0,1,3,30,10.0,3,2,2,2,1,0,0,0,0,30,22,7,1,3,8,37.5,0,0,0.0,8,74,70,523,7.5,4,1,0,0,1,0,1.000,31,25,6,73,69,25
,64960,2021-10-10,00:20:00 GMT,48,BUF,Buffalo,Bills,73,KC,Kansas City,Chiefs,1365,GEHA Field at Arrowhead Stadium,48,BUF,Buffalo,Bills,26,15,57.7,26.0,315,315,12.1,12.1,315.0,3,11.5,0,0.0,61,6,3,0,0,139.1,28,28.0,121,4.3,121.0,1,22,7,25.0,1,0,0,15,315,21.0,315.0,3,61,12,6,3,0,49,68,19,2,0,2,2,1,29,14.5,26,7,28,4,0,0,0,0,1,0,2,0,2,0,1,4,4.0,0,0,0,0,0,0,1,7,7.0,7,0,0,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,30,0,5,5,100.0,8,0.0,7,460,1,65.7,3,3,92,30.7,0,0,0,4,160,160,48,40.0,40.0,0,1,1,1,25.0,1,25.0,1,0,0,0.0,0,0,0,0,0,0,1,1,0,20,12,7,1,5,11,45.4,0,0,0.0,10,103,54,436,8.1,4,1,0,0,0,0,1.000,38,20,18,57,86,29
,64971,2021-10-10,17:00:00 GMT,54,PHI,Philadelphia,Eagles,69,CAR,Carolina,Panthers,1096,Bank of America Stadium,69,CAR,Carolina,Panthers,37,21,56.8,37.0,177,158,4.8,4.0,158.0,1,2.7,3,8.1,25,2,0,3,19,44.5,30,30.0,109,3.6,109.0,0,26,6,20.0,1,0,0,21,177,8.4,177.0,1,25,9,2,0,0,37,55,18,2,16,3,1,0,0,0.0,0,3,24,33,0,1,0,0,1,0,1,18,1,0,3,70,23.3,39,0,2,0,0,0,3,39,13.0,22,0,1,0,1,0,0,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,1,1,100.0,50,0,1,1,100.0,10,0.0,5,333,0,66.6,3,2,46,23.0,0,0,0,7,229,207,44,32.7,29.6,1,0,0,3,42.9,1,14.3,4,1,22,22.0,0,0,0,0,0,0,0,0,0,17,9,6,2,5,15,33.3,0,0,0.0,9,69,70,267,3.8,1,0,1,0,0,0,0.000,18,21,-3,71,67,31
,64965,2021-10-10,20:05:00 GMT,60,CHI,Chicago,Bears,74,LV,Las Vegas,Raiders,1287,Allegiant Stadium,60,CHI,Chicago,Bears,21,13,61.9,21.0,119,109,5.7,4.7,109.0,1,4.8,0,0.0,18,0,0,2,10,93.2,37,37.0,143,3.9,143.0,1,14,7,18.9,0,0,1,13,119,9.2,119.0,1,18,8,0,0,0,42,58,16,3,18,0,1,0,0,0.0,0,3,21,19,0,0,1,0,0,0,0,-7,0,0,3,69,23.0,32,0,2,0,0,0,2,38,19.0,21,0,1,0,1,0,0,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,46,0,2,2,100.0,8,0.0,5,323,0,64.6,3,2,35,17.5,0,0,0,5,234,225,53,46.8,45.0,0,0,0,2,40.0,0,0.0,4,1,9,9.0,0,0,0,0,0,0,0,0,0,19,8,7,4,6,13,46.2,0,0,0.0,8,70,60,252,4.2,2,1,0,0,0,0,1.000,20,9,11,64,67,22
,64969,2021-10-10,17:00:00 GMT,62,GB,Green Bay,Packers,57,CIN,Cincinnati,Bengals,1099,Paul Brown Stadium,57,CIN,Cincinnati,Bengals,38,26,68.4,38.0,281,264,7.4,6.4,264.0,2,5.3,2,5.3,70,3,1,3,17,85.5,24,24.0,103,4.3,103.0,1,11,6,25.0,0,0,0,26,281,10.8,281.0,2,70,12,3,1,0,44,67,23,2,11,3,1,0,42,42.0,42,4,24,23,0,0,0,0,0,0,0,0,0,0,4,120,30.0,44,0,4,1,0,0,1,2,2.0,2,0,0,0,0,0,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,2,2,100.0,2,0.0,4,251,0,62.8,3,1,16,16.0,0,0,0,5,192,183,46,38.4,36.6,0,1,1,2,40.0,1,20.0,0,2,9,4.5,1,1,1,1,0,0,0,0,0,18,12,6,0,5,14,35.7,2,2,100.0,2,21,65,367,5.6,3,0,1,0,0,0,0.000,22,25,-3,67,64,31
,64963,2021-10-10,20:05:00 GMT,58,CLE,Cleveland,Browns,75,LAC,Los Angeles,Chargers,1288,SoFi Stadium,58,CLE,Cleveland,Browns,32,23,71.9,32.0,305,301,9.5,9.1,301.0,2,6.2,0,0.0,71,4,2,1,4,122.5,35,35.0,230,6.6,230.0,3,52,10,28.6,2,1,0,23,305,13.3,305.0,2,71,12,4,2,0,37,57,20,2,17,3,0,0,0,0.0,0,9,21,19,0,0,1,0,2,1,1,0,2,0,5,109,21.8,30,0,3,0,0,0,2,17,8.5,9,0,0,0,0,0,0,2,2,100.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0,0.0,35,0,4,4,100.0,10,0.0,7,449,0,64.1,3,4,58,14.5,0,0,0,3,134,122,53,44.7,40.7,0,0,0,0,0.0,1,33.3,1,1,12,12.0,1,1,1,1,0,0,0,0,0,25,12,10,3,4,12,33.3,1,3,33.3,7,77,68,531,7.8,5,0,1,0,0,0,0.000,42,47,-5,72,75,32
,64967,2021-10-10,20:25:00 GMT,53,NYG,New York,Giants,52,DAL,Dallas,Cowboys,1103,AT&T Stadium,52,DAL,Dallas,Cowboys,33,23,69.7,33.0,324,314,9.8,9.0,314.0,3,9.1,1,3.0,49,6,1,2,10,118.8,39,39.0,201,5.2,201.0,1,17,10,25.6,0,0,1,23,324,14.1,324.0,3,49,13,6,1,0,36,55,19,0,0,1,2,1,63,31.5,45,6,23,3,0,0,2,1,0,1,0,-3,1,0,0,0,0.0,0,0,0,0,0,0,1,17,17.0,17,0,0,0,0,0,0,3,3,100.0,0,0,0.0,0,0,0.0,3,3,100.0,0,0,0.0,0,0,0.0,38,0,5,5,100.0,14,0.0,9,602,0,66.9,7,2,54,27.0,0,0,0,1,61,54,61,61.0,54.0,0,0,0,1,100.0,0,0.0,0,1,7,7.0,0,0,0,0,0,0,1,1,0,26,13,10,3,8,14,57.1,1,2,50.0,8,58,74,515,7.0,4,1,0,0,0,0,1.000,44,20,24,78,68,30
,64970,2021-10-10,17:00:00 GMT,72,DEN,Denver,Broncos,59,PIT,Pittsburgh,Steelers,1139,Heinz Field,72,DEN,Denver,Broncos,38,24,63.2,38.0,288,268,7.6,6.7,268.0,2,5.3,1,2.6,39,4,0,2,20,92.9,18,18.0,106,5.9,106.0,0,49,3,16.7,0,1,0,24,288,12.0,288.0,2,39,14,4,0,0,45,64,19,1,8,2,0,0,0,0.0,0,4,18,16,0,0,0,0,1,0,1,10,1,0,2,40,20.0,22,0,1,0,0,0,2,26,13.0,13,0,0,0,0,0,0,2,2,100.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,39,0,1,1,100.0,7,0.0,5,317,0,63.4,3,2,35,17.5,0,0,0,4,176,176,52,44.0,44.0,0,0,0,4,100.0,0,0.0,3,1,0,0.0,1,0,1,0,0,0,0,0,0,17,14,3,0,2,12,16.7,3,4,75.0,7,67,58,374,6.4,2,0,1,0,0,0,0.000,19,27,-8,60,65,26
