#Date/Time of Update: 2023-11-19 14:45:27 GMT,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassNetYards,#PassAvg,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveTD,#FirstDownsTotal,#DefensiveTwoPt,#DefensiveXP,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
,71935,2022-12-18,21:05:00 GMT,76,ARI,Arizona,Cardinals,72,DEN,Denver,Broncos,1289,Empower Field at Mile High,76,ARI,Arizona,Cardinals,36,20,55.6,36.0,173,167,4.8,4.3,167.0,0,0.0,3,8.3,29,1,0,3,6,33.7,20,20.0,73,3.6,73.0,1,14,4,20.0,0,0,0,20,173,8.6,173.0,0,29,8,1,0,0,47,84,37,7,43,0,1,0,1,1.0,1,4,19,53,0,0,0,0,1,0,1,0,1,0,1,23,23.0,23,0,1,0,0,0,2,11,5.5,8,0,0,0,1,0,0,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,2,2,100.0,55,0,0,0,0.0,9,0.0,4,259,0,64.8,3,1,19,19.0,0,0,0,6,299,276,59,49.8,46.0,0,0,1,2,33.3,0,0.0,1,3,23,7.7,1,0,1,0,0,0,0,13,0,0,8,4,1,2,12,16.7,0,0,0.0,7,46,59,240,4.1,1,0,1,0,0,0,0.000,15,24,-9,65,69,28
,72027,2022-12-18,18:00:00 GMT,68,ATL,Atlanta,Falcons,70,NO,New Orleans,Saints,1398,Caesars Superdome,68,ATL,Atlanta,Falcons,26,13,50.0,26.0,97,89,3.7,3.0,89.0,0,0.0,0,0.0,15,0,0,4,8,59.3,39,39.0,231,5.9,231.0,2,43,13,33.3,0,1,0,13,97,7.5,97.0,0,14,6,0,0,0,36,62,26,2,17,3,0,0,0,0.0,0,3,14,23,0,0,1,1,1,0,1,0,1,0,1,3,3.0,3,0,0,0,0,0,2,13,6.5,20,0,1,0,1,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,28,0,1,1,100.0,4,0.0,4,260,0,65.0,4,0,0,0.0,0,0,0,5,208,207,46,41.6,41.4,0,0,0,3,60.0,0,0.0,3,2,1,0.5,1,1,0,0,1,1,0,21,0,0,6,13,2,9,16,56.2,0,1,0.0,3,30,69,320,4.6,2,0,1,0,0,0,0.000,18,21,-3,74,55,22
,72025,2022-12-17,21:30:00 GMT,56,BAL,Baltimore,Ravens,58,CLE,Cleveland,Browns,1101,FirstEnergy Stadium,56,BAL,Baltimore,Ravens,30,17,56.7,30.0,138,126,4.6,3.8,126.0,0,0.0,1,3.3,19,0,0,3,12,54.6,28,28.0,198,7.1,198.0,0,37,10,35.7,3,0,1,17,142,8.4,142.0,0,19,6,0,0,0,43,67,24,3,21,2,0,0,0,0.0,0,3,21,29,0,0,4,1,0,2,0,-2,2,0,2,41,20.5,21,0,2,0,0,0,1,7,7.0,0,0,0,0,2,0,1,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,1,2,50.0,53,0,0,0,0.0,3,0.0,2,130,0,65.0,1,1,35,35.0,0,0,0,1,41,41,41,41.0,41.0,0,0,0,1,100.0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,17,0,0,6,10,1,5,12,41.7,0,3,0.0,3,25,61,324,5.3,0,0,1,0,0,0,0.000,3,13,-10,63,66,18
,72024,2022-12-17,01:15:00 GMT,49,MIA,Miami,Dolphins,48,BUF,Buffalo,Bills,1390,Highmark Stadium,48,BUF,Buffalo,Bills,40,25,62.5,40.0,304,296,7.6,7.0,296.0,4,10.0,0,0.0,45,4,1,2,8,119.2,29,29.0,150,5.2,150.0,0,44,9,31.0,0,1,1,25,304,12.2,304.0,4,45,16,4,1,0,33,50,17,2,19,3,0,0,0,0.0,0,6,20,20,0,0,2,1,1,1,0,0,1,0,3,76,25.3,36,0,3,0,0,0,1,0,0.0,5,0,0,0,1,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,25,0,3,3,100.0,6,0.0,4,252,0,63.0,3,1,28,28.0,0,0,0,5,215,215,49,43.0,43.0,0,2,0,2,40.0,0,0.0,3,0,0,0.0,1,1,0,0,1,1,0,29,0,0,16,9,4,8,14,57.1,0,0,0.0,7,51,71,446,6.3,4,1,0,0,0,0,1.000,32,29,3,78,59,30
,71930,2022-12-18,18:00:00 GMT,59,PIT,Pittsburgh,Steelers,69,CAR,Carolina,Panthers,1096,Bank of America Stadium,69,CAR,Carolina,Panthers,23,14,60.9,23.0,225,188,9.8,7.0,188.0,1,4.4,0,0.0,45,4,2,4,37,108.1,16,16.0,21,1.3,21.0,0,5,0,0.0,0,0,1,14,225,16.1,225.0,1,45,10,4,2,0,48,79,31,1,10,5,0,0,0,0.0,0,2,14,17,0,0,1,0,0,1,0,0,1,0,2,60,30.0,37,0,2,0,0,0,0,0,0.0,0,0,0,0,1,0,0,3,3,100.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,1,1,100.0,52,0,1,1,100.0,10,0.0,5,267,0,53.4,3,2,29,14.5,0,1,0,4,194,189,63,48.5,47.2,0,0,2,1,25.0,0,0.0,1,1,5,5.0,0,0,0,0,0,0,0,12,0,0,10,0,2,4,11,36.4,0,0,0.0,5,40,43,209,4.9,1,0,1,0,0,0,0.000,16,24,-8,46,68,25
,71931,2022-12-18,18:00:00 GMT,54,PHI,Philadelphia,Eagles,60,CHI,Chicago,Bears,1098,Soldier Field,60,CHI,Chicago,Bears,22,14,63.6,22.0,152,91,6.9,3.2,91.0,2,9.1,0,0.0,35,3,0,6,61,114.2,30,30.0,157,5.2,157.0,1,39,7,23.3,1,0,2,14,152,10.9,152.0,2,35,8,3,0,0,50,64,14,1,6,3,2,0,18,9.0,18,6,23,16,0,0,4,1,1,2,1,6,3,0,2,53,26.5,29,0,2,0,0,0,2,24,12.0,20,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2,3,66.7,2,0.0,4,198,0,49.5,0,4,92,23.0,0,1,0,6,252,245,56,42.0,40.8,0,2,2,3,50.0,0,0.0,1,1,7,7.0,0,0,0,0,0,0,0,15,0,0,8,7,0,5,13,38.5,0,1,0.0,6,30,58,248,4.3,3,0,1,0,0,0,0.000,20,25,-5,59,73,25
,71937,2022-12-18,21:25:00 GMT,57,CIN,Cincinnati,Bengals,71,TB,Tampa Bay,Buccaneers,1151,Raymond James Stadium,57,CIN,Cincinnati,Bengals,39,27,69.2,39.0,200,184,5.1,4.5,184.0,4,10.3,1,2.6,19,0,0,2,16,104.6,21,21.0,53,2.5,53.0,0,10,3,14.3,0,0,0,27,200,7.4,200.0,4,19,14,0,0,0,34,78,44,1,9,0,2,0,0,0.0,0,8,17,9,0,0,1,0,1,1,2,0,3,0,2,48,24.0,28,0,2,0,0,0,0,0,0.0,0,0,0,0,1,0,0,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,41,0,2,2,100.0,8,0.0,6,392,0,65.3,3,3,48,16.0,0,0,0,4,180,166,53,45.0,41.5,0,1,0,2,50.0,0,0.0,1,2,14,7.0,2,1,2,1,0,0,0,20,0,0,14,3,3,5,13,38.5,0,0,0.0,4,27,62,237,3.8,4,1,0,0,0,0,1.000,34,23,11,66,74,25
,72025,2022-12-17,21:30:00 GMT,56,BAL,Baltimore,Ravens,58,CLE,Cleveland,Browns,1101,FirstEnergy Stadium,58,CLE,Cleveland,Browns,28,18,64.3,28.0,161,140,5.8,4.5,140.0,1,3.6,0,0.0,28,1,0,3,21,91.5,33,33.0,143,4.3,143.0,0,18,8,24.2,0,0,0,18,161,8.9,161.0,1,28,10,1,0,0,40,59,19,3,12,3,1,0,0,0.0,0,6,20,20,1,0,0,0,1,0,1,0,1,0,1,21,21.0,35,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,2,4,50.0,0,0,0.0,1,1,100.0,0,1,0.0,1,2,50.0,0,0,0.0,47,0,1,1,100.0,7,0.0,4,263,0,65.8,2,2,41,20.5,0,0,0,3,144,144,59,48.0,48.0,0,0,0,1,33.3,0,0.0,2,0,0,0.0,0,0,0,0,0,0,0,19,0,0,10,8,1,5,15,33.3,2,2,100.0,3,32,64,283,4.4,1,1,0,0,0,0,1.000,13,3,10,66,63,18
,71933,2022-12-18,18:00:00 GMT,52,DAL,Dallas,Cowboys,66,JAX,Jacksonville,Jaguars,1266,TIAA Bank Field,52,DAL,Dallas,Cowboys,30,23,76.7,30.0,256,243,8.5,7.4,243.0,3,10.0,2,6.7,39,4,0,3,13,107.1,41,41.0,154,3.8,154.0,1,21,9,22.0,1,0,0,23,256,11.1,256.0,3,39,14,4,0,0,43,63,20,1,7,5,1,0,15,15.0,15,6,19,11,0,0,0,0,1,0,2,0,2,0,3,70,23.3,38,0,1,0,0,0,1,16,16.0,16,0,0,0,2,0,0,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,53,0,4,4,100.0,10,0.0,8,520,0,65.0,8,0,0,0.0,0,0,0,4,185,172,52,46.2,43.0,0,0,1,2,50.0,0,0.0,2,1,13,13.0,0,0,0,0,0,0,0,24,0,0,14,9,1,9,16,56.2,0,0,0.0,2,18,74,397,5.4,4,0,1,0,0,0,0.000,34,40,-6,75,70,33
,71935,2022-12-18,21:05:00 GMT,76,ARI,Arizona,Cardinals,72,DEN,Denver,Broncos,1289,Empower Field at Mile High,72,DEN,Denver,Broncos,26,21,80.8,26.0,197,156,7.6,4.7,156.0,1,3.8,1,3.8,19,0,0,7,41,95.0,34,34.0,168,4.9,168.0,2,35,12,35.3,2,0,1,21,197,9.4,197.0,1,19,10,0,0,0,31,65,34,3,6,3,3,0,40,13.3,23,7,21,6,0,0,3,1,0,2,0,0,2,0,1,19,19.0,19,0,0,0,0,0,4,23,5.8,8,0,0,0,1,0,0,1,2,50.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,1,100.0,52,0,3,3,100.0,6,0.0,5,326,0,65.2,4,1,23,23.0,0,0,0,5,224,213,56,44.8,42.6,0,1,1,3,60.0,0,0.0,1,2,11,5.5,0,0,0,0,0,0,0,23,0,0,10,12,1,4,11,36.4,0,0,0.0,4,31,67,324,4.8,3,1,0,0,0,0,1.000,24,15,9,69,65,28
