#Date/Time of Update: 2023-11-19 14:31:13 GMT,#Game ID,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Team ID,#Team Abbr.,#Team City,#Team Name,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#DefensiveXP,#DefensiveTD,#FirstDownsTotal,#DefensiveTwoPt,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential,#OffenseSnaps,#DefenseSnaps,#SpecialTeamSnaps
,71810,2022-10-20,00:15:00 GMT,70,NO,New Orleans,Saints,76,ARI,Arizona,Cardinals,1269,State Farm Stadium,76,ARI,Arizona,Cardinals,29,20,69.0,29.0,204,7.0,189,6.1,189.0,1,3.4,0,0.0,31,2,0,2,15,100.4,29,29.0,137,4.7,137.0,2,45,9,31.0,0,1,1,20,204,10.2,204.0,1,31,9,2,0,0,44,62,18,0,0,4,3,2,94,31.3,56,11,24,7,0,0,2,0,0,2,0,0,2,0,2,48,24.0,31,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,1,1,100.0,50,0,2,3,66.7,8,0.0,8,526,0,65.8,7,1,23,23.0,0,0,0,4,177,149,56,44.2,37.2,0,0,1,0,0.0,1,25.0,0,2,28,14.0,2,2,1,1,1,1,0,2,21,1,9,9,3,3,10,30.0,1,1,100.0,4,20,60,326,5.4,5,1,0,0,0,0,1.000,42,34,8,66,72,32
,71813,2022-10-23,17:00:00 GMT,68,ATL,Atlanta,Falcons,57,CIN,Cincinnati,Bengals,1887,Paycor Stadium,68,ATL,Atlanta,Falcons,13,8,61.5,13.0,124,9.5,107,6.7,107.0,1,7.7,0,0.0,75,1,1,3,17,118.8,29,29.0,107,3.7,107.0,1,11,6,20.7,0,0,1,8,124,15.5,124.0,1,75,5,1,1,0,43,70,27,3,22,2,0,0,0,0.0,0,5,15,25,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2,64,32.0,56,0,1,1,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,43,0,2,2,100.0,5,0.0,3,194,0,64.7,1,2,31,15.5,0,0,0,6,282,242,52,47.0,40.3,0,0,1,1,16.7,0,0.0,2,3,40,13.3,0,0,0,0,0,0,0,0,13,0,5,7,1,3,10,30.0,0,0,0.0,3,22,45,214,4.8,2,0,1,0,0,0,0.000,17,35,-18,47,68,25
,71811,2022-10-23,17:00:00 GMT,58,CLE,Cleveland,Browns,56,BAL,Baltimore,Ravens,1091,M&T Bank Stadium,56,BAL,Baltimore,Ravens,16,9,56.2,16.0,120,7.5,94,5.0,94.0,0,0.0,0,0.0,31,2,0,3,26,80.2,44,44.0,160,3.6,160.0,2,12,11,25.0,0,0,1,9,120,13.3,120.0,0,31,5,2,0,0,43,66,23,5,30,5,0,0,0,0.0,0,1,13,39,1,0,1,1,3,0,2,0,2,0,0,0,0.0,0,0,0,0,0,0,1,46,46.0,46,0,1,1,0,0,0,3,3,100.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,1,1,100.0,55,0,2,2,100.0,11,0.0,6,395,0,65.8,5,1,27,27.0,0,0,0,3,181,167,69,60.3,55.7,0,0,0,1,33.3,1,33.3,0,2,14,7.0,0,0,0,0,0,0,0,0,17,0,5,11,1,7,15,46.7,2,2,100.0,3,53,63,254,4.0,2,1,0,0,0,0,1.000,23,20,3,64,60,27
,71812,2022-10-23,17:00:00 GMT,71,TB,Tampa Bay,Buccaneers,69,CAR,Carolina,Panthers,1096,Bank of America Stadium,69,CAR,Carolina,Panthers,22,16,72.7,22.0,177,8.0,170,7.4,170.0,2,9.1,0,0.0,29,5,0,1,7,126.5,27,27.0,173,6.4,173.0,1,60,5,18.5,1,1,0,16,177,11.1,177.0,2,29,8,5,0,0,43,63,20,1,14,4,0,0,0,0.0,0,4,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,3,3,100.0,3,0.0,4,249,0,62.2,2,2,46,23.0,0,0,0,7,360,314,62,51.4,44.9,0,1,0,2,28.6,1,14.3,1,4,46,11.5,0,0,0,0,0,0,0,0,14,0,8,5,1,4,12,33.3,0,0,0.0,3,15,50,343,6.9,3,1,0,0,0,0,1.000,21,3,18,50,67,24
,71824,2022-10-24,00:15:00 GMT,60,CHI,Chicago,Bears,50,NE,New England,Patriots,1129,Gillette Stadium,60,CHI,Chicago,Bears,21,13,61.9,21.0,179,8.5,147,5.9,147.0,1,4.8,1,4.8,26,3,0,4,32,85.2,45,45.0,243,5.4,243.0,2,29,12,26.7,2,0,2,13,179,13.8,179.0,1,26,10,3,0,0,34,47,13,1,8,1,3,0,52,17.3,42,7,15,10,0,0,5,0,0,4,1,-4,5,0,2,49,24.5,27,0,2,0,0,0,3,33,11.0,27,0,1,0,0,0,0,4,4,100.0,0,0,0.0,1,1,100.0,1,1,100.0,1,1,100.0,1,1,100.0,50,0,3,3,100.0,15,0.0,7,462,0,66.0,2,5,113,22.6,0,0,0,2,81,69,46,40.5,34.5,0,0,0,1,50.0,0,0.0,0,2,12,6.0,0,0,0,0,0,0,0,0,24,0,10,13,1,10,18,55.6,0,1,0.0,4,35,70,390,5.6,3,1,0,0,0,0,1.000,33,14,19,71,52,25
,71813,2022-10-23,17:00:00 GMT,68,ATL,Atlanta,Falcons,57,CIN,Cincinnati,Bengals,1887,Paycor Stadium,57,CIN,Cincinnati,Bengals,42,34,81.0,42.0,481,11.4,459,10.2,459.0,3,7.1,0,0.0,60,9,2,3,22,138.2,21,21.0,78,3.7,78.0,2,20,5,23.8,1,0,0,34,481,14.2,481.0,3,60,22,9,2,0,34,49,15,3,17,1,0,0,0,0.0,0,2,14,21,0,0,0,0,0,0,0,0,0,0,2,31,15.5,17,0,0,0,0,0,3,40,13.3,21,0,1,0,2,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,5,5,100.0,5,0.0,6,390,0,65.0,6,0,0,0.0,0,0,0,2,93,29,56,46.5,14.5,0,0,0,1,50.0,0,0.0,0,2,64,32.0,0,0,0,0,0,0,0,0,29,0,22,5,2,7,11,63.6,0,1,0.0,5,17,66,537,8.1,5,1,0,0,0,0,1.000,35,17,18,68,47,25
,71811,2022-10-23,17:00:00 GMT,58,CLE,Cleveland,Browns,56,BAL,Baltimore,Ravens,1091,M&T Bank Stadium,58,CLE,Cleveland,Browns,27,22,81.5,27.0,258,9.6,223,7.0,223.0,0,0.0,0,0.0,55,3,1,5,35,106.5,24,24.0,113,4.7,113.0,2,22,8,33.3,1,0,0,22,258,11.7,258.0,0,55,8,4,1,0,48,65,17,3,26,2,0,0,0,0.0,0,5,20,36,0,0,3,2,1,1,1,0,2,0,1,27,27.0,27,0,1,0,0,0,2,14,7.0,8,0,0,0,0,0,1,2,3,66.7,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,0,1,0.0,41,0,2,2,100.0,8,0.0,5,325,0,65.0,5,0,0,0.0,0,0,0,3,173,127,76,57.7,42.3,0,0,1,1,33.3,1,33.3,0,1,46,46.0,0,0,0,0,0,0,0,0,18,0,8,8,2,2,11,18.2,1,1,100.0,6,45,56,336,6.0,2,0,1,0,0,0,0.000,20,23,-3,60,64,27
,71814,2022-10-23,17:00:00 GMT,61,DET,Detroit,Lions,52,DAL,Dallas,Cowboys,1103,AT&T Stadium,52,DAL,Dallas,Cowboys,25,19,76.0,25.0,207,8.3,191,7.1,191.0,1,4.0,0,0.0,24,2,0,2,16,113.2,32,32.0,139,4.3,139.0,2,28,8,25.0,2,0,0,19,207,10.9,207.0,1,24,10,2,0,0,42,60,18,5,36,3,2,0,3,1.5,3,4,16,44,0,0,2,1,3,1,3,1,4,0,0,0,0.0,0,0,0,0,0,0,2,66,33.0,52,0,1,1,0,0,0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,22,0,3,3,100.0,6,0.0,5,325,0,65.0,5,0,0,0.0,0,0,0,5,243,230,56,48.6,46.0,0,0,0,0,0.0,1,20.0,3,1,13,13.0,0,0,0,0,0,0,0,0,21,0,10,8,3,3,9,33.3,0,0,0.0,7,55,59,330,5.6,3,1,0,0,0,0,1.000,24,6,18,63,59,22
,71818,2022-10-23,20:05:00 GMT,51,NYJ,New York,Jets,72,DEN,Denver,Broncos,1289,Empower Field at Mile High,72,DEN,Denver,Broncos,46,24,52.2,46.0,225,4.9,219,4.7,219.0,0,0.0,1,2.2,45,1,1,1,6,56.9,28,28.0,105,3.8,105.0,1,15,7,25.0,0,0,0,24,225,9.4,225.0,0,45,10,1,1,0,33,57,24,3,16,0,0,0,0,0.0,0,2,17,17,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,2,2.0,2,0,0,0,1,0,0,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,1,0.0,56,0,0,1,0.0,3,0.0,3,195,0,65.0,3,0,0,0.0,0,0,0,6,240,240,46,40.0,40.0,0,1,2,3,50.0,0,0.0,3,0,0,0.0,0,0,0,0,0,0,0,0,21,0,10,7,4,5,16,31.2,1,3,33.3,4,34,75,324,4.3,1,0,1,0,0,0,0.000,9,16,-7,79,59,28
,71814,2022-10-23,17:00:00 GMT,61,DET,Detroit,Lions,52,DAL,Dallas,Cowboys,1103,AT&T Stadium,61,DET,Detroit,Lions,26,21,80.8,26.0,228,8.8,195,6.3,195.0,0,0.0,2,7.7,23,2,0,5,33,71.2,25,25.0,117,4.7,117.0,0,20,7,28.0,1,0,2,21,228,10.9,228.0,0,23,11,2,0,0,46,61,15,2,16,3,0,0,0,0.0,0,3,16,25,0,0,4,3,2,1,1,0,2,0,0,0,0.0,0,0,0,0,0,0,1,13,13.0,13,0,0,0,3,0,0,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,53,0,0,0,0.0,6,0.0,3,195,0,65.0,3,0,0,0.0,0,0,0,3,144,78,54,48.0,26.0,0,0,0,0,0.0,1,33.3,0,2,66,33.0,0,0,0,0,0,0,0,0,18,0,11,6,1,3,9,33.3,0,0,0.0,8,59,56,312,5.6,0,0,1,0,0,0,0.000,6,24,-18,59,63,22
